subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Bahasa Cina SJKC,BC-SJKC,1,1.0 听说技能,1.1.1,"进行口语交际,能初步应用礼貌语言, 学习与人沟通交流。",1010100,true 
Bahasa Cina SJKC,BC-SJKC,1,1.0 听说技能,1.1.2,"针对不明白的事情提出问题,能初步应 用疑问代词。做到态度有礼,话语适 当。",1010200,true 
Bahasa Cina SJKC,BC-SJKC,1,1.0 听说技能,1.2.1,聆听通知与要求，具有安静聆听的意识，能边听边记边想，听懂主要内容，作出适当的回应。; 2听读与理解教材，具有安静聆听的意识，能边听边记边想，理解主要内容。,1020000,true 
Bahasa Cina SJKC,BC-SJKC,1,1.0 听说技能,1.3.1,"讲述事情的经过,能简单交代出时 间、地点、人物和情节,并敢于说 话。",1030100,true 
Bahasa Cina SJKC,BC-SJKC,1,1.0 听说技能,1.3.2,"说明人和物,能注意到基本外貌特 点,勾画出简单的轮廓,并敢于说 话。",1030200,true 
Bahasa Cina SJKC,BC-SJKC,1,2.0 阅读技能,2.1.1,"理解教材,能认识教材中的汉字,掌 握词语,理解句子、段落、篇章的内 容。",2010100,true 
Bahasa Cina SJKC,BC-SJKC,1,2.0 阅读技能,2.1.2,"阅读教材,培养语感。能展开想象, 初步体验文章表达的情感,领会其教 育意义。并能感受语言的优美,培养 爱阅读的习惯。",2010200,true 
Bahasa Cina SJKC,BC-SJKC,1,2.0 阅读技能,2.2.1,"朗读教材,感悟其内容。做到语音正 确,字句完整,语速、语调适当。",2020100,true 
Bahasa Cina SJKC,BC-SJKC,1,3.0 书写技能,3.1.1,"应用铅笔在田字格上书写基本笔画和 正楷,感受汉字的形体美。要求执笔 和运笔正确,坐姿端正,做到笔画和 笔顺正确,字的间架结构匀称,字体 端正整洁。",3010100,true 
Bahasa Cina SJKC,BC-SJKC,1,3.0 书写技能,3.2.1,"练习写话,初步尝试进行书面表达。 能不拘形式地写自己想说的话,并根 据表达的需要,学习使用标点符号。 对写话产生兴趣。",3020100,true 
Bahasa Cina SJKC,BC-SJKC,1,4.0 趣味语文,4.1.1,"进行语文游戏。以有趣的形式,积累 和扩展词汇,操练语音。",4010100,true 
Bahasa Cina SJKC,BC-SJKC,1,4.0 趣味语文,4.2.1,"背诵古诗十首,初步理解诗歌的内 容,感受语言的优美。",4020100,true 
Bahasa Cina SJKC,BC-SJKC,1,4.0 趣味语文,4.3.1,"诵读和演绎教材,做到语音正确,语 调恰当,表现生动自然有感情。",4030100,true 
Bahasa Cina SJKC,BC-SJKC,1,4.0 趣味语文,4.4.1,"分享阅读心得。针对所阅读的材料, 与他人分享故事情节。",4040100,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.1.1,"掌握汉字演变的基本知识,加强汉字 的识记,并对学习汉字产生兴趣。",5010100,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.1.2,"认识汉字的笔画、部首、偏旁和结 构,掌握汉字的笔顺规则。",5010200,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.2.1,"正确认读音节,在说话和朗读时能念 准字音。",5020100,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.3.1,"通过阅读,认识各类词语,辨析及理 解词义,并能适当地应用词语。",5030100,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.4.1,"通过阅读,认识各种不同功能的句子 和关联词语,并尝试在表达时应用。",5040100,true 
Bahasa Cina SJKC,BC-SJKC,1,5.0 语文基础知识,5.5.1,"通过阅读,认识各种标点符号并了解 其用法并正确使用。",5050100,true 
Bahasa Cina SJKC,BC-SJKC,2,1.0 听说技能,1.1.1,进行口语交际，能应用礼貌语言，学会 与人沟通交流，做到话语适当，态度有 礼。,1010100,true 
Bahasa Cina SJKC,BC-SJKC,2,1.0 听说技能,1.1.2,针对不明白的事情提出问题，能正确地 应用疑问代词。做到态度有礼，话语适 当。,1010200,true 
Bahasa Cina SJKC,BC-SJKC,2,1.0 听说技能,1.2.1,聆听说话，能安静聆听。边听边记边 想，听懂说话内容，作出适当的回 应。,1020100,true 
Bahasa Cina SJKC,BC-SJKC,2,1.0 听说技能,1.2.2,听读与理解教材，能安静聆听，边听 边记边想，理解主要内容。,1020200,true 
Bahasa Cina SJKC,BC-SJKC,2,1.0 听说技能,1.3.2,说明人和物，能描述外貌轮廓和重要 细节，及一些较突出的特点。做到语 音正确，语句完整，态度大方。,1030200,true 
Bahasa Cina SJKC,BC-SJKC,2,2.0 阅读技能,2.1.1,理解教材，能认识教材中的汉字，掌 握词语，理解句子、段落、篇章的内 容。,2010100,true 
Bahasa Cina SJKC,BC-SJKC,2,2.0 阅读技能,2.1.2,阅读教材，培养语感。能展开想象， 初步体验文章表达的情感，领会其教 育意义。并能感受语言的优美，体会 阅读的乐趣。,2010200,true 
Bahasa Cina SJKC,BC-SJKC,2,2.0 阅读技能,2.2.1,朗读教材，感悟其内容。做到语音正 确、字句完整，语速、语调适当，尝 试有感情地朗读。,2020100,true 
Bahasa Cina SJKC,BC-SJKC,2,3.0 书写技能,3.1.1,应用铅笔在田字格上书写正楷，感受 汉字的形体美。要求执笔和运笔正 确，坐姿端正，做到笔画和笔顺正 确，字的间架结构匀称，字体端正整 洁。,3010100,true 
Bahasa Cina SJKC,BC-SJKC,2,3.0 书写技能,3.2.1,练习写话，尝试进行书面表达。能不 拘形式地写自己想说的话，并根据表 达的需要，学习使用标点符号。对写 话产生信心和兴趣。,3020100,true 
Bahasa Cina SJKC,BC-SJKC,2,4.0 趣味语文,4.1.1,进行语文游戏。以有趣的形式，积累 和扩展词汇，操练语音。,4010100,true 
Bahasa Cina SJKC,BC-SJKC,2,4.0 趣味语文,4.2.1,背诵古诗十首，初步理解诗歌的内 容，感受语言的优美。,4020100,true 
Bahasa Cina SJKC,BC-SJKC,2,4.0 趣味语文,4.3.1,诵读和演绎教材，做到语音正确，语 调恰当，表现生动自然有感情。,4030100,true 
Bahasa Cina SJKC,BC-SJKC,2,4.0 趣味语文,4.4.1,分享阅读心得。针对所阅读的材料， 与他人分享故事情节。,4040100,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.1.1,"掌握汉字演变的基本知识,加强汉字 的识记,并对学习汉字产生兴趣。",5010100,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.1.2,"认识汉字的笔画、部首、偏旁和结 构,掌握汉字的笔顺规则。",5010200,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.2.1,"正确认读音节,在说话和朗读时能念 准字音。",5020100,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.3.1,"通过阅读,认识各类词语,辨析及理 解词义,并能适当地应用词语。",5030100,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.4.1,"通过阅读,认识各种不同功能的句子 和关联词语,并尝试在表达时应用。",5040100,true 
Bahasa Cina SJKC,BC-SJKC,2,5.0 语文基础知识,5.5.1,"通过阅读,认识各种标点符号,了解 标点符号的作用。",5050100,true 
