subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.1.1,"Mending enggau lenak sereta berati enggau silik nitihka timpuh ke diberi. mending lalu beratika pekara ke disebut nitihka timpuh; ngayanka kelis mua, perening mata enggau gaya ke likun sereta bebas; mending lalu berati enggau silik, bebasaka orang ke bejaku sereta pekara ke dikenataika; iya (cht: adar ngereja aktiviti, motivasyen, etb)",1010100,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.1.2,"Ngayanka respons ke engkeman, baka: nagunka pala ke tanda besetuju (Ya, Au, Nya mih,); ngayanka tanda enda besetuju (Ukai, Enda patut)",1010200,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.2.1,Nukuka leka jaku kunchi enggau frasa ba teks; nentuka munyi urup konsonan enggau vokal tebuka; nentuka munyi leka jaku ke ngundan vokal besekat glottis,1020100,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.2.2,"Nentuka munyi leka jaku dalam konteks ba teks; nentuka munyi sebut leka jaku. nentuka kualiti munyi leka jaku - ton, entak sebut enggau enteli nitihka konteks",1020200,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.3.1,Nentuka penerang dalam teks,1030100,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.3.2,Nyaut ngena tikas pengelandik nyaut ti bebida,1030200,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.3.3,Nyangka berindik ba penemu ke udah dikemisi,1030300,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.3.4,Bekauljaulka peneleba ke udah kala diasaika,1030400,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.3.5,Beratika cherita sekalika nitihka rurun tauka enda,1030500,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.4.1,"Randau (peminta, penerang, forum, panel)",1040100,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.4.2,"Naratif (cherita, kelulu, drama)",1040200,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.4.3,"Penerang (pekara rama, dagang, sains & teknologi)",1040300,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.4.4,"Pelandai, pantun, dindang, lagu enggau leka main nembiak",1040400,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.5.1,Kaul jaku ke nunjukka ruang (cht: Ditu endur iya) maya (cht: Iya datai pagila),1050100,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.5.2,Jaku ke dikena nyapa (Nama berita?),1050200,True
BAHASA IBAN,IBAN,1,Pengelandik Mending Enggau Bejaku,1.5.3,Lebas jaku sebut – mudah sereta ngena ayat pandak,1050300,True
