subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.1.1,Mongintutun pimato.,1010100,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.1.2,"Monoinu' pomoroitan boros kokomoi i. numbul (1-10, 20,30,…) ii. warana' iii. biodata iv. boogian tinan v. paganakan vi. kakamot id kalas vii tayam",1010200,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.1.3,Mongilo pomoroitan montok boros di kituni: i. /b/ ii. /d/ iii. /'/,1010300,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.2.1,Mamarait tuni pimato,1020100,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.2.2,Popolombus boros kokomoi,1020200,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.2.3,Popolombus boros di kituni:,1020300,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.3.1,Mongintutun koilaan di orongou mantad audio i. ayat a. toomod b. pongudio; Mongintutun koilaan di orongou mantad audio ii. mogikaakawo teks a. mesej b. rencana c. pibarasan d. susuyan,1030100,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.3.2,Mokinongou montok i. mongintutun koilaan. ii. manahak sisimbar. iii. momonsoi toina'on.,1030200,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.3.3,Momoguno peta pomusarahan montok monimung koilaan.,1030300,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.4.1,Mongulud boros montok popoboros kawagu ponuhuan di norongou toi ko' i nointutunan mantad bahan pongunsub.,1040100,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.4.2,Manahak sisimbar kumaa ponguhatan di norongou maya’ ponguhupan do mongingia'.,1040200,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.4.3,Poposunud do koilaan di norongou toi ko' i notimung mantad bahan pongunsub maya' ponguhupan do mongingia'.,1040300,True
BAHASA KADAZANDUSUN,BKD,1,1.0 Kabaalan Mokinongou Om Momboros,1.5.1,Mongilo kopolombusan di kotunud om olinuud mantad audio montok ayat i. toomod a. popointutun b. popoilo ii. pongudio a. mintutun b. monguhot iii. ponuhuan a. popointalang,1050100,True
