subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
BAHASA MELAYU SK,BM-SK,1,Mendengar Dan Bertutur,1.1.1,"Mengajuk, dan menyebut perkataan, frasa dan ayat yang mengandungi pelbagai bunyi; Vokal; Konsonan; diftong; voakl berganding; digraf; konsonan bergabung",1010100,TRUE
BAHASA MELAYU SK,BM-SK,1,Mendengar Dan Bertutur,1.1.2,"Mendengar, memahami, dan membeikan respon terhadap; Suruhan; Pesanan; soalan",1010200,TRUE
BAHASA MELAYU SK,BM-SK,1,Mendengar Dan Bertutur,1.2.1,Bertutur dengan sebutan yang betul dan intonasi secara bertatasusila.,1020100,TRUE
BAHASA MELAYU SK,BM-SK,1,Mendengar Dan Bertutur,1.2.2,Menyampaikan maklumat daripada bahan.,1020200,TRUE
BAHASA MELAYU SK,BM-SK,1,Membaca,2.1.1,Membaca dengan sebutan yang betul; vokal; konsonan; suku kata; frasa; perkataan; ayat,2010100,TRUE
BAHASA MELAYU SK,BM-SK,1,Membaca,2.1.2,"Membaca dengan sebutan yang betul, intonasi yang sesuai, dan memahami; perkataan dua suku kata dan tiga suku kata; frasa; ayat",2010200,TRUE
BAHASA MELAYU SK,BM-SK,1,Membaca,2.2.1,"Membaca, memahami, dan menaakul bahan untuk mendapatkan; kosa kata; idea tersurat; idea tersirat",2020100,TRUE
BAHASA MELAYU SK,BM-SK,1,Membaca,2.3.1,Membaca dan mengenal pasti kandungan teks bahan sastera dan bukan sastera; cerita; pantun; lagu kanak-kanak,2030100,TRUE
BAHASA MELAYU SK,BM-SK,1,Membaca,2.3.2,"Membaca, memahami, dan mempersembahkan karya sastera; Membaca, memahami, dan mempersembahkan karya sastera.",2030200,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.1.1,Menulis secara mekanis; huruf; suku kata; perkataan; frasa; ayat,3010100,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.2.1,"Membina dan menulis; perkataan, frasa; ayat; perkataan",3020100,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.2.2,Membina dan menulis jawapan pemahaman berdasarkan soalan; bertumpu; bercapah,3020200,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.2.3,Mencatat maklumat tentang sesuatu perkara; Mencatat maklumat tentang sesuatu perkara.,3020300,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.2.4,Menulis secara imlak; perkataan; ayat,3020400,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.3.1,Menghasilkan penulisan naratif dan bukan naratif secara; terkawal,3030100,TRUE
BAHASA MELAYU SK,BM-SK,1,Menulis,3.3.2,Mengedit dan memurnikan hasil penulisan daripada aspek; ejaan; tanda baca,3030200,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Seni Bahasa,4.1.1,Bercerita dan menuturkan dialog yang mengandungi gaya bahasa yang indah; Simpulan bahasa,4010100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Seni Bahasa,4.2.1,Melafazkan pantun dengan intonasi yang betul; pantun empat kerat; pantun dua kerat,4020100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Seni Bahasa,4.2.2,Menyanyikan dengan sebutan dan intonasi yang betul; lagu rakyat; lagu kanak-kanak,4020200,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Seni Bahasa,4.2.3,Melagukan dengan sebutan dan intonasi yang betul; Syair -irama Selendang Delima,4020300,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Seni Bahasa,4.3.1,Mencipta secara terkawal dan mempersembahkan; pantun empat kerat; syair –irama Selendang Delima; pantun dua kerat,4030100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.1.1,"Memahami, mengenal pasti dan menggunakan golongan kata mengikut konteks; kata nama am; kata nama khas; kata ganti nama; penjodoh bilangan",5010100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.1.2,"Memahami, mengenalpasti dan menggunakan kata kerja mengikut konteks; kata kerja aktif transitif; kata kerja pasif",5010200,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.1.3,"Memahami, mengenal pasti dan menggunakan kata adjektif mengikut konteks.",5010300,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.1.4,"Memahami, mengenal pasti dan menggunakan kata tugas mengikut konteks; kata sendi nama; kata arah; kata perintah; kata hubung gabungan; kata seru; MINGGU TRANSISI",5010400,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.2.1,"Memahami,mengenal pasti dan menggunakan kata terbitan mengikut konteks; kata berimbuhan akhiran; kata berimbuhan awalan",5020100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.2.2,"Memahami, mengenal pasti dan menggunakan kata majmuk mengikut konteks; kata majmuk rangkai kata bebas",5020200,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.2.3,"Memahami, mengenal pasti dan menggunakan kata ganda mengikut konteks.i) kata ganda",5020300,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.3.1,Memahami dan mengenal pasti jenis ayat mengikut konteks; ayat penyata; ayat tanya dengan kata tanya; ayat perintah; ayat seruan,5030100,TRUE
BAHASA MELAYU SK,BM-SK,1,Aspek Tatabahasa,5.3.2,"Memahami, mengenal pasti dan menggunakan bentuk ayat mengikut konteks.i) ayat tunggal; ayat majmuk; ayat tunggal",5030200,TRUE
BAHASA MELAYU SK,BM-SK,2,Mendengar Dan Bertutur,1.1.1,"Mendengar, mengecam, memahami dan menyebut dengan betul dan tepat; frasa; ayat tunggal; ayat majmuk",1010100,TRUE
BAHASA MELAYU SK,BM-SK,2,Mendengar Dan Bertutur,1.1.2,"Mendengar, memahami, dan memberikan respons terhadap; soalan; suruhan; pesanan; permintaan",1010200,TRUE
BAHASA MELAYU SK,BM-SK,2,Mendengar Dan Bertutur,1.1.3,"Mendengar, dan memberikan respons dengan membuat tafsiran terhadap; soalan bercapah; pesanan",1010300,TRUE
BAHASA MELAYU SK,BM-SK,2,Mendengar Dan Bertutur,1.2.1,Bertutur untuk menjelaskan sesuatu perkara secara bertatasusila mengikut konteks; Bertutur untuk menjelaskan sesuatu perkara secara bertatasusila mengikut konteks.,1020100,TRUE
BAHASA MELAYU SK,BM-SK,2,Mendengar Dan Bertutur,1.2.2,Bertutur dan menjelaskan maklumat yang tersurat dan tersirat dengan menggunakan idea yang kritis dan kreatif.,1020200,TRUE
