subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
ENGLISH SK,BI-SK,1,Listening,1.1.1,Recognise and reproduce with support a limited range of high frequency target language phonemes,1010100,True
ENGLISH SK,BI-SK,1,Listening,1.2.1,Understand with support the main idea of very simple phrases and sentences,1020100,True
ENGLISH SK,BI-SK,1,Listening,1.2.2,Understand with support specific information and details of very simple phrases and sentences,1020200,True
ENGLISH SK,BI-SK,1,Listening,1.2.3,Understand with a high degree of support very short simple narratives,1020300,True
ENGLISH SK,BI-SK,1,Listening,1.2.4,Understand short basic supported classroom instructions,1020400,True
ENGLISH SK,BI-SK,1,Listening,1.2.5,Understand short supported questions,1020500,True
ENGLISH SK,BI-SK,1,Listening,1.3.1,Predict words they will hear by using knowledge of a topic,1030100,True
ENGLISH SK,BI-SK,1,Speaking,2.1.1,Give very basic personal information using fixed phrases,2010100,True
ENGLISH SK,BI-SK,1,Speaking,2.1.2,Find out about very basic personal information using fixed phrases,2010200,True
ENGLISH SK,BI-SK,1,Speaking,2.1.3,Express basic likes and dislikes,2010300,True
ENGLISH SK,BI-SK,1,Speaking,2.1.4,"Greet, say goodbye, and express thanks using suitable fixed phrases",2010400,True
ENGLISH SK,BI-SK,1,Speaking,2.1.5,Name or describe objects using suitable words from word sets,2010500,True
ENGLISH SK,BI-SK,1,Speaking,2.2.2,Ask for attention or help from a teacher or classmate using one word or a fixed phrase,2020200,True
ENGLISH SK,BI-SK,1,Speaking,2.3.1,Introduce self to an audience using fixed phrases,2030100,True
ENGLISH SK,BI-SK,1,Reading,3.1.1,Identify and recognise the shapes of the letters in the alphabet,3010100,True
ENGLISH SK,BI-SK,1,Reading,3.1.2,"Recognise and sound out with support beginning, medial and final sounds in a word",3010200,True
ENGLISH SK,BI-SK,1,Reading,3.1.3,"Blend phonemes (CVC, CCVC)",3010300,True
ENGLISH SK,BI-SK,1,Reading,3.1.4,"Segment phonemes (CVC, CCVC)",3010400,True
ENGLISH SK,BI-SK,1,Reading,3.2.1,Understand the main idea of very simple phrases and sentences,3020100,True
ENGLISH SK,BI-SK,1,Reading,3.2.2,Understand specific information and details of very simple phrases and sentences,3020200,True
ENGLISH SK,BI-SK,1,Reading,3.2.3,Use visuals on the page to help understand a word or phrase; Identify and remember high frequency sound and letter patterns,3020300,True
ENGLISH SK,BI-SK,1,Reading,3.2.4,"Use with support a simple picture dictionary to find, list and categorise words from Year 1 topics and themes",3020400,True
ENGLISH SK,BI-SK,1,Reading,3.3.1,Read and enjoy simple print and digital games at word level; Create simple non-linear and linear texts using a variety of media with guidance.,3030100,True
ENGLISH SK,BI-SK,1,Writing,4.1.1,Demonstrate fine motor control of hands and fingers by using pen or pencil correctly. Demonstrate correct posture and pen hold grip. Develop hand-eye coordination through drawing lines and patterns,4010100,True
ENGLISH SK,BI-SK,1,Writing,4.1.2,Form upper and lower case letters of regular size and shape** **preliterate children only; write letters and words in a straight line from left to right with regular spaces between words and spaces* *all children; copy letters and familiar high frequency words and phrases correctly* *all children,4010200,True
ENGLISH SK,BI-SK,1,Writing,4.2.1,Give very basic personal information using fixed phrases,4020100,True
ENGLISH SK,BI-SK,1,Writing,4.2.2,"Greet, say goodbye, and express thanks using suitable fixed phrases",4020200,True
ENGLISH SK,BI-SK,1,Writing,4.2.3,Express basic likes and dislikes,4020300,True
ENGLISH SK,BI-SK,1,Writing,4.2.4,Name or describe objects using suitable words from word sets,4020400,True
ENGLISH SK,BI-SK,1,Writing,4.2.5,Connect words and proper names using ‘and’,4020500,True
ENGLISH SK,BI-SK,1,Writing,4.3.1,Use capital letters appropriately in personal and place names,4030100,True
ENGLISH SK,BI-SK,1,Writing,4.3.2,Spell familiar high frequency words accurate,4030200,True
ENGLISH SK,BI-SK,1,Writing,4.3.3,"Plan, and write words and phrases",4030300,True
ENGLISH SK,BI-SK,1,Writing,4.4.1,"Plan, produce and present creative works: ii. rhymes with guidance",4040100,True
ENGLISH SK,BI-SK,1,Language Arts,5.1.1,simple chants and raps; simple rhymes; simple action songs,5010100,True
ENGLISH SK,BI-SK,1,Language Arts,5.1.2,simple chants and raps; simple rhymes; simple action songs,5010200,True
