subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.1.1,Menyatakan kuantiti melalui perbandingan.,1010100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.2.1,Menamakan nombor hingga 100; Membilang objek dalam kumpulan. Menamakan nombor bagi kumpulan objek sebagai mewakili kuantiti. Membandingkan kuantiti dua kumpulan objek.,1020100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.2.2,Menentukan nilai nombor hingga 100; Menunjukkan kuantiti bagi nombor yang diberi. Memadankan kumpulan objek dengan nombor. Membandingkan nilai dua nombor. Menyusun kumpulan objek mengikut tertib menaik dan tertib menurun.,1020200,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.3.1,Menulis nombor dalam angka dan perkataan.,1030100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.4.1,Menyatakan kombinasi nombor satu digit.,1040100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.5.1,Membilang nombor.,1050100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.5.2,Melengkapkan sebarang rangkaian nombor.,1050200,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.6.1,Menyatakan nilai tempat dan nilai digit bagi sebarang nombor.,1060100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.7.1,Memberi anggaran bilangan objek yang munasabah.,1070100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.8.1,Membundarkan nombor bulat kepada puluh terdekat.,1080100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.9.1,Mengenal pasti pola bagi siri nombor yang diberi.,1090100,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.9.2,Melengkapkan pelbagai pola nombor yang mudah.,1090200,TRUE
MATEMATIK SK,MT-SK,1,1.0 Nombor Bulat Hingga 100,1.10.1,Menyelesaikan masalah yang melibatkan situasi harian.,1100100,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.1.1,Menggguna dan mempelbagaikan perbendaharaan kata yang relevan dalam konteks tambah dan tolak.,2010100,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.1.2,"Memperkenalkan simbol bagi tambah, tolak dan sama dengan.",2010200,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.1.3,"Menggunakan simbol tambah, tolak dan sama dengan bagi menulis ayat matematik berdasarkan situasi yang diberi.",2010300,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.2.1,Menambah dalam lingkungan fakta asas.,2020100,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.2.2,Menambah dua nombor hasil tambah dalam lingkungan 100.,2020200,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.3.1,Menolak dalam lingkungan fakta asas.,2030100,TRUE
MATEMATIK SK,MT-SK,1,2.0 Operasi Asas,2.3.2,Menolak dua nombor dalam lingkungan 100.,2030200,TRUE
