subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الناس,1.1.1,ممباچ سوره اننس دڠن بتول دان برتجويد,1010100,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الناس,1.1.2,تلقي مشافاهه سوره اننس دڠن بتول دان برتجويد,1010200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الناس,1.1.3,مڠمالكن باچان سوره اننس دالم كهيدوڤن هارين,1010300,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الفلق,1.2.1,ممباچ سوره الفلك دڠن بتول دان برتجويد,1020100,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الفلق,1.2.2,تلقي مشافاهه سوره الفلك دڠن بتول دان برتجويد,1020200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچأن سوره الفلق,1.2.3,مڠمالكن باچان سوره الفلك دالم كهيدوڤن هارين,1020300,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الناس,1.3.3,مڠمالكن سوره اننس يڠ دحفظ دڠن بتول دان برتجويد دالم صلاة دان كهيدوڤن هار,1030000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الناس,1.3.1,مڠحفظ سوره اننس دڠن بتول دان برتجويد,1030100,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الناس,1.3.2,ممڤردڠركن حفظن سوره اننس دڠن بتول دان برتجويد,1030200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الفلق,1.4.3,مڠمالكن سوره الفلك يڠ دحفظ دڠن بتول دان برتجويد دالم صلاة دان كهيدوڤن هارين,1040000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الفلق,1.4.1,مڠحفظ سوره اننس دڠن بتول دان برتجويد,1040100,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الفلق,1.4.2,ممڤردڠركن حفظن سوره الفلك دڠن بتول دان برتجويد,1040200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,حفظن سوره الفلق,1.5.1,مڠنلڤستي كلمة دان ڤوتوڠن ايات يڠ مڠاندوڠي باچان مد اشلي دڠن بتول,1050000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچان مد اصلي,1.5.2,ممباچ كلمة دان ڤوتوڠن ايات يڠ مڠاندوڠي باچان مد اشلي دڠن بتول,1050200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچان مد اصلي,1.5.3,مڠاڤليكسي باچان مد اشلي دڠن بتول دان برتجويد دالم ڤمباچان القرءان,1050300,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچان مد اصلي,1.6.1,مڠنل ڤستي كلمة دان ڤوتوڠن ايات يڠ مڠاندوڠي باچان نون دان ميم شادده دڠن بتول,1060000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچان نون دان ميم شده,1.6.2,ممباچ كلمة دان ڤوتوڠن ايات يڠ مڠاندوڠي باچان نون دان ميم شادده دڠن بتول دان برتجويد,1060200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,باچان نون دان ميم شده,1.6.3,مڠاڤليكسيكن باچان نون دان ميم شادده دڠن بتول دان برتجويد دالم ڤمباچان القرءان,1060300,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,صفة2 الله,2.1.3,ممبوقتيكن كايمانن ترهادڤ صفة الله ملالوءي تيندقن دالم كهيدوڤن هارين,2010000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,صفة2 الله,2.1.1,مڽناراايكن صفة صفة الله,2010100,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,صفة2 الله,2.1.2,مڽاتاكن مقصود باڬي ستياڤ صفة الله,2010200,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,نام الله الاحد دان الصمد,2.2.4,ممبوقتيكن كايمانن ترهادڤ نام الله الاحد ادن اسسومد ملالوءي تيندقن دان ڤڠهارڤن هاڽ ڤد الله باڬي منجاوهي ڤربواتن شرك,2020000,TRUE
Pendidikan Islam SJKC,PAI-SJKC,2,نام الله الاحد دان الصمد,2.2.1,مڽاتاكن ڤڠرتين الهاد دان اسسومد,2020100,TRUE
