subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.1,"Melakukan pergerakan yang melibatkan kesedaran tubuh badan dari segi bentuk, imbangan, pemindahan berat badan dan layangan.",1010100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.2,"Melakukan pergerakan yang melibatkan kesedaran ruang diri, ruang am dan batasan ruang dalam pelbagai arah dan aras",1010200,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.3,"Melakukan pergerakan mengikut arah depan, belakang, kiri, kanan, atas dan bawah berdasarkan isyarat",1010300,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.4,"Menukar arah dari hadapan ke belakang dan kiri ke kanan mengikut tempo, irama dan isyarat.",1010400,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.5,"Melakukan pergerakan dalam laluan lurus, berlengkok, spiral dan zig-zag.",1010500,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.6,"Melakukan pergerakan yang berbeza kelajuan berdasarkan tempo, irama dan isyarat.",1010600,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.1.7,Melakukan pergerakan yang berbeza penggunaan daya antara ringan dengan berat.,1010700,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.2.1,"Melakukan pergerakan berjalan, berlari, melompat, melompat sebelah kaki (hopping), mencongklang (galloping), menggelongsor, melonjak (leaping) dan berskip.",1020100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.2.2,Melakukan pergerakan melompat dengan menggunakan kedua-dua belah kaki atau sebelah kaki dan mendarat menggunakan kedua-dua belah kaki dengan lutut difleksi.,1020200,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.2.3,"Melakukan pergerakan lokomotor dalam pelbagai arah, aras, laluan dan kelajuan dengan rakan dan alatan.",1020300,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.2.4,Melakukan lompat tali yang diayun berulang-ulang oleh dua orang rakan.,1020400,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.2.5,Melakukan pergerakan lokomotor mengikut irama.,1020500,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.3.1,"Melakukan pergerakan fleksi badan (membongkok), mengayun, memusing, mengilas, meregang, menolak, menarik dan mengimbang.",1030100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.3.2,"Melakukan pergerakan bukan lokomotor dalam pelbagai satah, aras, pemindahan berat badan dan daya dengan rakan dan alatan.",1030200,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.3.3,Melakukan pergerakan bukan lokomotor mengikut irama.,1030300,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.1,Melakukan balingan bawah tangan.,1040100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.2,Melakukan balingan atas kepala.,1040200,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.3,Menangkap atau menerima objek yang dibaling secara perlahan.,1040300,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.4,Menangkap bola yang dilambung sendiri.,1040400,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.5,Menendang bola yang digolek.,1040500,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.6,Menendang bola dan seterusnya berlari ke hadapan.,1040600,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.7,Memukul belon ke atas dengan menggunakan anggota badan.,1040700,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.8,Memukul belon ke atas menggunakan alatan.,1040800,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.9,Mengelecek bola ke depan menggunakan bahagian dalam kaki.,1040900,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.4.10,Mengelecek bola berterusan menggunakan satu tangan.,1041000,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.5.1,Meniru pergerakan pelbagai watak mengikut muzik yang didengar.,1050100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.6.1,"Melakukan pelbagai pergerakan haiwan pada aras rendah, sederhana dan tinggi.",1060100,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.6.2,Melakukan pergerakan haiwan pada pelbagai laluan.,1060200,True
PENDIDIKAN JASMANI SK,PJ-SK,1,1. Kemahiran Pergerakan ( Domian Psikomotor ),1.7.1,"Melakukan imbangan dengan sebelah kaki di sisi, depan dan belakang.",1070100,True
