subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,"9.உடல் நலத்தைக் காப்போம், பிணியினைத் தவிர்ப்போம்",1.1,"3தன் உடல், உடை, உடைமைகளின் தூய்மையைப் பேணும் வழிமுறைகளை அமல்படுத்துவர். 4தன் உடல் தூய்மையைப் பேணாமல் இருப்பதும், தன் உடைமைகளைப் பகிர்வதாலும் ஏற்படும் விளைவுகளை மதிப்பிடுவர்.",1010000,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,6. விளையாடி மகிழ்வோம்,1.1,"1உடல் உறுப்புகளை அறிதல் - உடம்பு, கை, கால் மற்றும் பால் உறுப்புகள்.",1010000,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.வாருங்கள் இயங்குவோம்,1.1.1,"உடல் உணர்விற்கு ஏற்ப வடிவம்,சமநிலை,உடல் எடை மாற்றம் மற்றும் மிதவை நிலை போன்ற இயக்கங்களை மேற்கொள்ளுதல்",1010100,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,2. மகிழ்வுடன் இயங்குவோம்,1.1.2,"தன்வெளிச்சூழல், பொதுவெளிச்சூழல்,எல்லைக்கு உட்பட்ட பலவகை திசைகள்,வெளிச்சூழல் உணவிர்க்கு ஏற்ப இயக்கங்களை மேற்கொள்ளல்",1010200,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,"9.உடல் நலத்தைக் காப்போம், பிணியினைத் தவிர்ப்போம்",1.1.2,தவறான தொடுதல் முறைக்கு “வேண்டாம் / கூடாது” என்று கூறுதல்.,1010200,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,3. பல்வகை இயக்கங்கள்,1.1.3,"சைகையின் அடிப்படையில் முன் பின், இடம் வலம், ஆகியவற்றிற்கேற்ப இயக்கங்களை மேற்கொள்ளுதல்",1010300,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,3. பல்வகை இயக்கங்கள்,1.1.4,"முன், பின் இடப்புறமாக இடவும், டெம்போ, ரிதம் மற்றும் இடமிருந்து இடப்புறம் இடவும் சிக்னல்",1010400,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,4. என்னால் முடியும்,1.1.5,"நேராகவும்,வளைந்தும்,வளைந்து வளைந்தும் இயக்கங்களை மேற்கொள்ளுதல்",1010500,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,5. மாறுபட்ட வேகத்தில் இயங்குவோம்,1.1.6,"நேரம், தாளம், சைகை ஆகியவற்றிற்கு ஏற்ப பலவகை இயக்கங்களை மேற்கொள்ளுதல்.",1010600,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,6. என்னைப் போல் இயங்கு,1.1.7,"மெதுவாகவும், இலகுவாகவும், கடினமாகவும்,மென்மையாகவும்,உறுதியாகவும் மற்றும் பல்வகை நடவடிக்கைகளை மேற்கொள்ளல்",1010700,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.இடம் பெயர் இயக்கங்கள்,1.2.1,"நடத்தல்,ஓடுதல்,குதிரைப்போல் ஓடுதல்,சறுக்குதல்,குதித்தல்,ஒற்றைக்காலில் குதித்தல்,குதித்த நிலையில் கை வீசி ஓடுதல், தாவுதல் ஆகிய நடவடிக்கைகளை மேற்கொள்ளல்",1020100,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.இடம் பெயர் இயக்கங்கள்,1.2.2,ஒருகால் மற்றும் இரண்டு கால்களாலும் குதித்த பிறகு முட்டியை ஏற்ற நிலையில் தரையிறங்கும் இயக்கத்தை மேற்கொள்ளல்,1020200,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.இடம் பெயர் இயக்கங்கள்,1.2.3,"நண்பர்கள் மற்றும் குடும்பத்தோடு பல்வேறு திசைகளில், நிலைகள், பாதைகள் மற்றும் வேகங்களில் நகர் இயக்கத்தை இயங்குகிறது",1020300,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.இடம் பெயர் இயக்கங்கள்,1.2.4,இருவராக சேர்ந்து தொடர்ந்து சுழற்றும் கயிற்றைத் தாண்டும் நடவடிக்கை மேற்கொள்ளள்,1020400,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1.இடம் பெயர் இயக்கங்கள்,1.2.5,தாளத்திற்கு ஏற்ப் இடம் பெயரும் இயக்கங்களை மேற்கொள்ளுதல்,1020500,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,2.இடம் பெயரா இயக்கங்கள்,1.3.1,"வளைதல்,தளர்தல்,ஒடுங்குதல்,முறுக்குதல்,சுழலுதல்,தள்ளுதல்,இழுத்தல்,வீசுதல்,மற்றும்சமநிலைப்படுத்துதல் போன்ற உடல்தளர்வு இயக்கங்களை மேற்கொள்ளுதல்",1030100,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,2.இடம் பெயரா இயக்கங்கள்,1.3.2,"நண்பர் மற்றும் பொருள்களின் துணையுடன் பல நிலைகள், படிநிலைகள்,ஓட்டம் மற்றும் சக்திக்கு ஏற்ற இடம் பெயரா இயக்கங்களை மேற்கொள்ளுதல்",1030200,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,2.இடம் பெயரா இயக்கங்கள்,1.3.3,தாளத்திற்கேற்ப இடம் பெயரா இயக்கங்களை மேற்கொள்ளுதல்,1030300,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,3. உபகரணங்களைத் திறமையாக பயன்படுத்துதல்,1.4.1,கைகளுக்குக் கீழே வீசுதல்,1040100,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,3. உபகரணங்களைத் திறமையாக பயன்படுத்துதல்,1.4.2,தலைக்கு மேல் வீசுதல்,1040200,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,3. உபகரணங்களைத் திறமையாக பயன்படுத்துதல்,1.4.3,கைப்பற்றப்பட்ட அல்லது மெதுவாக வீசுகின்ற பொருள் பெறுகிறது.,1040300,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,4. சுயமாகச் செய்வோம் வாரீர்,1.4.4,"தன்வெளிச்சூழல்,பொதுவெளிச்சூழல் எல்லைக்குற்பட்ட பலவகை திசைகள்,வெளிச்சூழல் உணர்விற்கு ஏற்ப இயக்கங்களை மேற்கொள்ளல்",1040400,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,5. உருண்டு வரும் பந்தை உதைப்போம்,1.4.5,தன்னை நோக்கி உருட்டப்படும் பந்தை உதைத்தல்,1040500,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,5. உருண்டு வரும் பந்தை உதைப்போம்,1.4.6,பந்தை உதைத்தப்பின் முன் நோக்கி ஓடுதல்,1040600,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,6. உதற்பந்தை அடிப்போம் வாருங்கள்,1.4.7,"கைகள்,முழங்கை மற்றும் கால்களால் கொண்டு பலூனைத் தொடர்ந்து தட்டுதல்",1040700,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,6. உதற்பந்தை அடிப்போம் வாருங்கள்,1.4.8,குறிப்பிட்ட பொருள்களைப் பயன்படுத்தி பலூனை மேல் நோக்கி தட்டுதல்,1040800,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,7. பந்தை இலாவகமாக வெட்டிச் செல்வோம்,1.4.9,உள்புறக்காலைப் பயன்படுத்தி பந்தை முன் நோக்கி எடுத்துச் செல்வர்,1040900,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,8. பந்தைக் கைகளால் வெட்டிச் செல்லுதல்,1.4.10,ஒரு கையைப் பயன்படுத்தி பந்தைத் தொடர்ந்தாற்போல் தட்டிச் செல்லுதல்,1041000,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,1. கொடுக்கப்படும் நடவடிக்கைகளை இசைக்கேற்ப செய்து பார்க்கவும்,1.5.1,தாளம் மற்றும் இசைக்கு ஏற்ற இயக்கங்களைப் பிபற்றுதல்/உருவாக்குதல்,1050100,True
Pendidikan Jasmani & Kesihatan SJKT,PJPK-SJKT,1,2. கொடுக்கப்படும் பாடலைப் பாடிக் கொண்டே விளையாடவும்,1.5.1,தாளம் மற்றும் இசைக்கு ஏற்ற இயக்கங்களைப் பிபற்றுதல்/உருவாக்குதல்,1050100,True
