subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
PENDIDIKAN KESIHATAN SK,PK-SK,1,1.0 Kesihatan Diri Dan Reproduktif,1.1.1,Mengetahui anggota tubuh lelaki dan perempuan.  Kepala; Rambut; Mata; Telinga; Hidung; Mulut; Bibir; Gigi  Badan; Payu dara; Dada; Bahu; Punggung  Tangan  Paha  Kaki  Kuku  Organ genital; Zakar; Faraj  Dubur,1010100,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,1.0 Kesihatan Diri Dan Reproduktif,1.1.2,Memahami kepentingan menjaga kebersihan fizikal.,1010200,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,1.0 Kesihatan Diri Dan Reproduktif,1.1.3,"Mengaplikasikan cara menjaga kebersihan fizikal, pakaian dan alatan keperluan diri.",1010300,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,1.0 Kesihatan Diri Dan Reproduktif,1.1.4,Menilai kesan sekiranya tidak menjaga kebersihan fizikal dan berkongsi alatan keperluan diri.,1010400,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,2.0 Kesihatan Diri Dan Reproduktif,2.1.1,"Mengetahui sentuhan selamat, sentuhan tidak selamat dan sentuhan tidak selesa.",2010100,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,2.0 Kesihatan Diri Dan Reproduktif,2.1.2,"Memahami sebab anggota tubuh dan organ genital hanya boleh disentuh oleh ibu atau doktor untuk tujuan kebersihan, kesihatan dan keselamatan.",2010200,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,2.0 Kesihatan Diri Dan Reproduktif,2.1.3,Mengaplikasikan kemahiran berkata TIDAK kepada sentuhan tidak selamat dan sentuhan tidak selesa.,2010300,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,2.0 Kesihatan Diri Dan Reproduktif,2.1.4,Menilai situasi yang memerlukan kemahiran berkata TIDAK kepada sentuhan tidak selamat dan sentuhan tidak selesa.,2010400,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,3.0 Penyalahgunaan Bahan,3.1.1,Mengetahui ubat dan kegunaannya.,3010100,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,3.0 Penyalahgunaan Bahan,3.1.2,Memahami kepentingan ubat dan mematuhi preskripsi doktor.,3010200,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,3.0 Penyalahgunaan Bahan,3.1.3,Memahami bahaya pengambilan ubat selepas tarikh luput.,3010300,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,3.0 Penyalahgunaan Bahan,3.1.4,Memahami bahaya pengambilan ubat orang lain.,3010400,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,3.0 Penyalahgunaan Bahan,3.1.5,Menilai kepentingan menyimpan ubat di tempat yang betul dan selamat.,3010500,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,4.0 Pengurusan Mental Dan Emosi,4.1.1,"Mengetahui pelbagai emosi iaitu gembira, sedih, takut, marah dan malu.",4010100,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,4.0 Pengurusan Mental Dan Emosi,4.1.2,Memahami kepentingan meluahkan emosi yang sesuai mengikut situasi.,4010200,TRUE
PENDIDIKAN KESIHATAN SK,PK-SK,1,4.0 Pengurusan Mental Dan Emosi,4.1.3,Memahami maksud keperluan dan kehendak dalam kehidupan.,4010300,TRUE
