subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,1.2.1,认识、了解和分辨高音和低音; 2认识、了解和分辨强的力度和弱的力度; 3认识、了解和分辨声音和乐器的音色; 4实践对曲调的理解; 1认识、了解和分辨音乐厚和薄的质感; 2读出在谱表上的音名i音名G、A和Bii应用音符; 3在音乐活动中，实践音乐质感的厚和薄; 4在吹奏竖笛活动中实践乐理知识,1020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,2.2.1,以准确的发音唱歌; 2以正确的音准唱歌; 3跟着拍子唱歌; 4跟着拍子敲打乐器; 5根据节拍以敲击乐器伴奏; 6根据速度演奏敲击乐器; 7跟着乐谱图标敲击乐器; 8跟着歌曲做出动作; 9跟着歌曲的拍子拍打; 1以正确的呼吸法唱歌; 6根据歌曲的节奏做出做出动作。; 7跟着拍子做出 动作。,2020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,2.2.10,根据节奏动一动,2021000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,3.2.1,发出各种声音; 2利用乐谱图标代替 自创简单的节奏; 2创作简易的旋律; 3根据歌曲自创动作,3020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,3.3.2,分组呈献表演; 1计划如何准备展览会和表演,3030000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,4.1.1,1展出自制的作品,4010000,TRUE
Pendidikan Moral SJKC,PM -SJKC,1,2.0 艺术技能,4.2.1,确认马来西亚传统音乐i音乐种类ii实践传统音乐的社群; 1确认马来西亚传统音乐 i音乐种类 ii实践传统音乐的社群; 2检讨自己和同学的表演,4020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,2.2.10,以正确的拍子的吹奏竖笛 ii利用正确的音符v 正确的嘴型 vi正确的姿势; 11依据曲谱吹奏竖笛,2020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,2.2.9,认识直笛ii直笛的保养方法iii直笛的握法,2020900,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,3.2.1\,1利用各种物件创作出各种声音以进行表演; 2创作简易的旋律; 3呈献演奏作品,3020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,3.3.1,1计划如何准备展览会和表演; 2依照计划进行展览会工作; 3叙述自己的作品并对同伴的作品进行评述; 4确保展览会作品获得妥善的保护; 5确保展览会作品获得妥善的保护; 6讨论如何呈献表演; 7分组呈献表演,3030000,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,4.1.1,展出自制的作品; 2检讨自己的作品和表演,4010000,TRUE
Pendidikan Moral SJKC,PM -SJKC,3,2.0 艺术技能,4.2.1,确认流行音乐i音乐的总类ii实践音乐的社群,4020000,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,1.0 音乐语言,1.1.1,"(i）以全音符、二分音符、四分音符和八分音符说和写出五线谱上G, A, B, C' 和D'音。; （ii）说和写出五线谱上G, A, B, C' 和D‘ 音及全音休止符、二分休止符、四分休止符和八分休止符。",1010100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,1.0 音乐语言,1.1.2,说和写出音乐符号：（i）五线谱; 说和写出音乐符号：（ii）小节和小节线; 说和写出音乐符号：（iii）高音谱号; 说和写出音乐符号：（iv）终止线; 说和写出音乐符号：（v）反复记号; 说和写出音乐符号：（vi） 拍号:（a）; 说和写出音乐符号：（vi） 拍号:（b）; 说和写出音乐符号：（vi） 拍号:（c）,1010200,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,1.0 音乐语言,1.1.3,运用所理解的乐理知识在音乐活动中。,1010300,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.1.2,以正确的音准唱歌。; 3跟着拍子唱歌。,2010000,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.1.1,唱出二重唱歌曲。,2010100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.1.4,应用曲目中的连奏（legato）和断奏（staccato）部分。,2010400,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.2.1,跟着拍子敲打乐器。,2020100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.2.2,根据乐谱的节拍以敲击乐器伴奏：（i） 用全音符、二分音符、四分音符和八分音符; 根据乐谱的节拍以敲击乐器伴奏：（ii） 用全音休止符、二分休止符、四分休止符和八分休止符。,2020200,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.3.1,根据所听到的音乐来创建和计划动作：（i）歌曲的形态. 根据所听到的音乐来创建和计划动作：（ii）节拍。,2030100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.4.1,"根据正确的节拍吹奏：（i）G, A, B, C’ dan D’ 的指法 （ii）吹奏全音符、二分音符、四分音符及八分音符 （iii）吹奏全音休止符、二分休止符、四分休止符及八分休止符 （iv）呼吸法 （v）舌法 （vi）直唇法 （vii）姿势",2040100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,2.0 音乐技能,2.4.2,运用读曲谱的知识和技能来吹奏复调旋律 。,2040200,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,3.0 音乐创意,3.2.1,创作简易节奏形态：（i）用全音符、二分音符、四分音符和八分音符（ii） 用全音休止符、二分休止符、四分休止符和八分休止符。,3020100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,3.0 音乐创意,3.2.2,创作简易的旋律。,3020200,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,3.0 音乐创意,3.2.3,呈献演奏作品。,3020300,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,4.0 音乐鉴赏,4.2.1,从以下几个方面来评论马来西亚音乐：（i）合奏的名称; 从以下几个方面来评论马来西亚音乐：（ii）乐器的类型; 从以下几个方面来评论马来西亚音乐：（iii）乐器,4020100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,5.0 音乐课业,5.1.1,计划音乐表演。,5010100,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,5.0 音乐课业,5.1.2,进行音乐表演。,5010200,TRUE
Pendidikan Moral SJKC,PM -SJKC,4,5.0 音乐课业,5.1.3,通过音乐活动实践道德价值。,5010300,TRUE
Pendidikan Moral SJKC,PM -SJKC,5,1.0 音乐语言,1.1.1,"认读并书写音符：E,F,G,A,B,C’,D’ （i）音符 （ii）休止符",1010100,TRUE
Pendidikan Moral SJKC,PM -SJKC,5,1.0 音乐语言,1.1.2,认读、书写和理解音乐符号及术语; piano ( p )弱; forte ( f ) 强; staccato (断音); legato （连音）,1010200,TRUE
