subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
PENDIDIKAN MUZIK SK,MUZ-SK,1,1. Seni Bermula Di Sini,1.2.1,"Mengenal, memahami, dan membezakan pic tinggi dan pic rendah.",1020100,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,3. La La La Bonekakku Bernyanyi,1.2.2,"Mengenal, memahami, dan membezakan dinamik kuat dan dinamik lembut.",1020200,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,4. Cantik Batik,1.2.3,"Mengenal, memahami, dan membezakan warna ton suara dan alat muzik.",1020300,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"2. Jari Menari, Warna Berseri",2.2.1,Bernyanyi dengan sebutan yang betul.,2020100,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,7. Detektif Jalinan Menyiasat,2.2.1,Bernyanyi dengan sebutan yang betul.,2020100,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"2. Jari Menari, Warna Berseri",2.2.2,Bernyanyi dengan pic yang betul.,2020200,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,7. Detektif Jalinan Menyiasat,2.2.2,Bernyanyi dengan pic yang betul.,2020200,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,1. Seni Bermula Di Sini,2.2.3,Bernyanyi mengikut tempo,2020300,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"8. Lari Sang Tikus, Lari",2.2.3,Bernyanyi mengikut tempo,2020300,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"5. Tik Tok Tik, Lukis Di Udara",2.2.4,Memainkan alat perkusi mengikut tempo,2020400,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"6. Satu, Dua, Tiga Dayung!",2.2.5,Memainkan alat perkusi mengikut detik lagu.,2020500,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,9. Serupa Tapi Tidak Sama,2.2.6,Memainkan alat perkusi mengikut corak irama melodi.,2020600,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"5. Tik Tok Tik, Lukis Di Udara",2.2.7,Memainkan alat perkusi berdasarkan skor ikon.,2020700,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"10. Renjis, Percik, Ikut Irama",2.2.7,Memainkan alat perkusi berdasarkan skor ikon.,2020700,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"5. Tik Tok Tik, Lukis Di Udara",2.2.8,Membuat pergerakan berdasarkan lirik lagu.,2020800,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"6. Satu, Dua, Tiga Dayung!",2.2.9,Membuat pergerakan berdasarkan detik lagu.,2020900,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"11. Hias Diri, Ikut Menari",2.2.9,Membuat pergerakan berdasarkan detik lagu.,2020900,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"8. Lari Sang Tikus, Lari",2.2.10,Membuat pergerakan mengikut tempo.,2021000,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,4. Cantik Batik,3.2.1,Menghasilkan pelbagai bunyi.,3020100,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"10. Renjis, Percik, Ikut Irama",3.2.2,Mencipta corak irama mudah mengunakan ikon mewakili nilai Krocet,3020200,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,Persembahan,3.3.2,Membuat persembahan kumpulan.,3030200,True
PENDIDIKAN MUZIK SK,MUZ-SK,1,"11. Hias Diri, Ikut Menari",4.2.1,Mengenalpasti muzik Tradisional Malaysia yang didengar. jenis muzik. masyarakat yang mengamalkan muzik tersebut.,4020100,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,1.0 Modul Bahasa Muzik,1.1.1,Mengenal dan membezakan tempo cepat dan lambat.,1010100,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,1.0 Modul Bahasa Muzik,1.1.2,Mengenal dan membezakan pergerakan melodi bertangga dan melodi mendatar.,1010200,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,1.0 Modul Bahasa Muzik,1.1.3,Mengaplikasikan pemahaman berkaitan tempo cepat dan lambat menerusi aktiviti muzik.,1010300,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,1.0 Modul Bahasa Muzik,1.1.4,Mengaplikasikan pemahaman berkaitan pergerakan melodi dalam aktiviti muzik.,1010400,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,1.0 Modul Bahasa Muzik,1.2.2,Mengenal dan membezakan pergerakan melodi bertangga dan melodi mendatar.,1020200,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,2.0 Modul Kemahiran Muzik,2.1.1,Bernyanyi dengan postur yang betul.,2010100,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,2.0 Modul Kemahiran Muzik,2.1.2,Bernyanyi dengan pic yang betul.,2010200,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,2.0 Modul Kemahiran Muzik,2.1.3,Bernyanyi mengikut tempo.,2010300,True
PENDIDIKAN MUZIK SK,MUZ-SK,2,2.0 Modul Kemahiran Muzik,2.1.4,Bernyanyi dengan perubahan tempo.,2010400,True
