subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,1. Seni Bermula Di Sini,1.1.1,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Menggambar; capan",1010100,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,Modul Teknologi Maklumat Dan Komunikasi (Tmk),1.1.1,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Menggambar",1010100,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"5. Tik Tok Tik, Lukis Di Udara",1.1.1,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Menggambar; lukisan",1010100,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"10. Renjis, Percik, Ikut Irama",1.1.1,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Menggambar; renjisan dan percikan",1010100,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,7. Detektif Jalinan Menyiasat,1.1.1,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Menggambar; gosokan",1010100,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"8. Lari Sang Tikus, Lari",1.1.2,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Membuat Corak Dan Rekaan; tiupan",1010200,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"2. Jari Menari, Warna Berseri",1.1.2,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Membuat Corak Dan Rekaan; ikatan dan celupan",1010200,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,9. Serupa Tapi Tidak Sama,1.1.3,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Membentuk Dan Membuat Binaan; model",1010300,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,3. La La La  Bonekaku Bernyanyi,1.1.3,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Membentuk Dan Membuat Binaan; boneka",1010300,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"6. Satu, Dua, Tiga Dayung!",1.1.3,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Membentuk Dan Membuat Binaan; mobail",1010300,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,4. Cantik Batik,1.1.4,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Mengenal Kraf Tradisional; batik",1010400,True
PENDIDIKAN SENI VISUAL SK,PSV-SK,1,"11. Hias Diri, Ikut Menari",1.1.4,"Mengenal, memahami, dan menamakan bahasa seni visual yang ada pada karya dalam Bidang Mengenal Kraf Tradisional; alat perhiasan dirI",1010400,True
