subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 1:安全最重要,1.1.1,列出个人规则、个人安全、工作室安全规则及使用工具材料的安全规则。,1010100,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 1:安全最重要,1.1.2,阐释安全标志的含义,1010200,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 1:安全最重要,1.1.3,在意外发生时，如何应用急救知识,1010300,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 1:安全最重要,1.1.4,说出在工作室内的安全守则; 保持工作室的整洁；ii) 保养和存放工具,1010400,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 1:安全最重要,1.1.5,总结忽略工作室安全守则的后果,1010500,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.1.1,根据现有的成品，阐释设计的意思。,2010100,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.1.2,确认设计对日常生活的重要性,2010200,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.1.3,说明设计与职业的关系,2010300,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.1.4,鉴赏四周围各种产品的设计,2010400,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.1.5,举例设计的元素：i. 线条；ii. 图形；iii. 形状；iv. 质地；v. 大小；vi. 颜色；vii. 空间；viii. 明度,2010500,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.1,确认设计草图中的各种线条,2020100,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.2,画出各种的线条,2020200,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.3,运用各种线条及基本形状，以构思设计来描绘草图。,2020300,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.4,运用各种线条及基本形状，描绘拥有主题的素描设计,2020400,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.5,分析所描绘的草图,2020500,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.6,评估所描绘的草图设计并进行改良,2020600,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.7,根据所拟定的主题及所描绘的草图，使用适当的工具和材料进行创意设计。,2020700,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 2：我爱设计,2.2.8,对所设计好的物品，进行产品说明会。,2020800,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.1,阐释工艺对日常生活的重要性,3010100,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.2,举出用以创作产品的常规工艺用具和先进工艺工具,3010200,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.3,构思将要制作的产品设计，以描绘草图,3010300,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.4,把将要设计的产品构思画成草图，并把有关的资料记录。,3010400,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.5,根据草图上的资料，进行评估并进行改良。,3010500,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.6,估计将要创作产品的成本,3010600,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.7,使用已选择的工艺创作产品,3010700,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 3：我爱工艺,3.1.8,使用不同的媒介，进行产品分享会。,3010800,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.1,联系现有的产品及其包装设计。,4010000,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.2,根据产品的种类，列出良好的包装特征,4010200,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.3,诠释设计包装的重要性,4010300,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.4,构思将要制作的包装设计，以描绘草图,4010400,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.5,根据产品的种类，把将要设计的包装构思画成草图，并把有关的资料记录。,4010500,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.6,说出将要制作的包装设计草图上的资料。,4010600,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.7,评估草图及进行改良,4010700,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.8,估计将要创作的包装设计的成本,4010800,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.9,根据所描绘的草图，使用适当的工具和材料进行创作包装设计,4010900,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 4：包装，我最强！,4.1.10,使用不同的媒介，进行产品分享会。,4011000,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 5：美食，我最爱！,5.1.1,确认所选择美食上的设计。,5010100,TRUE
Reka Bentuk & Teknologi SJKC,RBT-SJKC,4,单元 5：美食，我最爱！,5.1.2,阐释美食设计的重要性,5010200,TRUE
