subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
SAINS SK,SN-SK,3,3.0. Manusia,3.3.3,Merumus tentang makanan tercerna yang tidak diperlukan oleh badan.,3030300,TRUE
SAINS SK,SN-SK,3,3.0. Manusia,3.3.4,"Menjelaskan pemerhatian tentang pencernaan menerusi lakaran, TMK, penulisan atau lisan secara kreatif.",3030400,TRUE
SAINS SK,SN-SK,3,4.0. Haiwan,4.1.1,Mengelas haiwan mengikut tabiat pemakanan.,4010100,TRUE
SAINS SK,SN-SK,3,4.0. Haiwan,4.1.2,"Menjelaskan dengan contoh tabiat pemakanan haiwan herbivor, karnivor dan omnivor.",4010200,TRUE
SAINS SK,SN-SK,3,4.0. Haiwan,4.1.3,Membuat inferens tentang kumpulan haiwan berdasarkan tabiat pemakanan.,4010300,TRUE
SAINS SK,SN-SK,3,4.0. Haiwan,4.1.4,"Membanding dan membezakan kegigian haiwan herbivor, karnivor, dan omnivor.",4010400,TRUE
SAINS SK,SN-SK,3,4.0. Haiwan,4.1.5,"Menjelaskan pemerhatian tentang tabiat pemakanan haiwan melalui lakaran, TMK penulisan atau lisan secara kreatif",4010500,TRUE
SAINS SK,SN-SK,3,5.0. Tumbuhan,5.1.1,Memberi contoh tumbuhan bagi setiap cara pembiakan.,5010100,TRUE
SAINS SK,SN-SK,3,5.0. Tumbuhan,5.1.2,Menaakul kepentingan pembiakan tumbuhan kepada hidupan.,5010200,TRUE
SAINS SK,SN-SK,3,5.0. Tumbuhan,5.1.3,Mengitlak satu tumbuhan boleh membiak melalui pelbagai cara dengan menjalankan projek.,5010300,TRUE
SAINS SK,SN-SK,3,5.0. Tumbuhan,5.1.4,"Menjelaskan pemerhatian tentang pembiakan tumbuhan melalui lakaran, TMK, penulisan atau lisan secara kreatif.",5010400,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.1,Menyatakan unit yang digunakan untuk mengukur luas dan isi padu.,6010100,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.2,Mengukur luas permukaan sekata menggunakan petak yang berukuran 1cm x 1cm.,6010200,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.3,Menyelesaikan masalah untuk menganggar luas permukaan yang tidak sekata.,6010300,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.4,Mengukur isi padu kotak lohong dengan menggunakan kubus yang berukuran 1cm x 1cm x 1cm,6010400,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.5,Mengukur isi padu cecair menggunakan alat dan teknik yang betul.,6010500,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.6,Menyelesaikan masalah untuk menentukan isi padu pepejal tidak sekata melalui kaedah sesaran air.,6010600,TRUE
SAINS SK,SN-SK,3,6.0.  Pengukuran,6.1.7,"Menjelaskan pemerhatian tentang pengukuran luas dan isi padu melalui lakaran, TMK, penulisan atau lisan secara kreatif.",6010700,TRUE
SAINS SK,SN-SK,3,7.0. Ketumpatan,7.1.1,Membuat inferens tentang objek atau bahan yang timbul dan objek atau bahan yang tenggelam dengan menjalankan aktiviti.,7010100,TRUE
SAINS SK,SN-SK,3,7.0. Ketumpatan,7.1.2,Menghubung kait objek atau bahan yang timbul dan objek atau bahan yang tenggelam dengan ketumpatan.,7010200,TRUE
SAINS SK,SN-SK,3,7.0. Ketumpatan,7.1.3,Menyelesaikan masalah bagi mengenal pasti kaedah untuk menjadikan air lebih tumpat.,7010300,TRUE
SAINS SK,SN-SK,3,7.0. Ketumpatan,7.1.4,"Menjelaskan pemerhatian tentang objek atau bahan yang lebih tumpat dan kurang tumpat daripada air melalui lakaran, TMK, penulisan atau lisan secara kreatif",7010400,TRUE
SAINS SK,SN-SK,3,8.0. Asid Dan Alkali,8.1.1,"Menguji bahan yang berasid, beralkali dan neutral dari segi perubahan warna kertas litmus dengan menjalankan penyiasatan.",8010100,TRUE
SAINS SK,SN-SK,3,8.0. Asid Dan Alkali,8.1.2,"Mengitlak bahan yang berasid, beralkali dan neutral dari aspek rasa dan sentuhan dengan menguji beberapa contoh bahan.",8010200,TRUE
SAINS SK,SN-SK,3,8.0. Asid Dan Alkali,8.1.3,"Meneroka bahan lain yang boleh menguji bahan berasid, beralkali dan neutral.",8010300,TRUE
SAINS SK,SN-SK,3,8.0. Asid Dan Alkali,8.1.4,"Menjelaskan pemerhatian tentang asid dan alkali melalui lakaran, TMK, penulisan atau lisan secara kreatif.",8010400,TRUE
SAINS SK,SN-SK,3,9.0. Sistem Suria,9.1.1,Menyenaraikan ahli dalam Sistem Suria melalui pemerhatian menerusi pelbagai media.,9010100,TRUE
SAINS SK,SN-SK,3,9.0. Sistem Suria,9.1.2,Mengitlak suhu planet berdasarkan urutan dalam Sistem Suria.,9010200,TRUE
SAINS SK,SN-SK,3,9.0. Sistem Suria,9.1.3,Memerihalkan planet beredar mengelilingi Matahari mengikut orbit.,9010300,TRUE
SAINS SK,SN-SK,3,9.0. Sistem Suria,9.1.4,Menghubung kait kedudukan planet dari Matahari dengan masa planet beredar mengelilingi Matahari.,9010400,TRUE
SAINS SK,SN-SK,3,9.0. Sistem Suria,9.1.5,"Menjelaskan pemerhatian tentang sistem suria melalui lakaran, TMK, penulisan atau lisan secara kreatif.",9010500,TRUE
SAINS SK,SN-SK,3,10.0 Mesin,10.1.1,Menyatakan maksud dan kegunaan takal.,10010100,TRUE
SAINS SK,SN-SK,3,10.0 Mesin,10.1.2,Memerihalkan cara takal tetap berfungsi dengan menggunakan model.,10010200,TRUE
SAINS SK,SN-SK,3,10.0 Mesin,10.1.3,Memberi contoh aplikasi takal dalam kehidupan.,10010300,TRUE
SAINS SK,SN-SK,3,10.0 Mesin,10.1.4,Mereka cipta model takal yang berfungsi.,10010400,TRUE
SAINS SK,SN-SK,3,10.0 Mesin,10.1.5,"Menjelaskan pemerhatian tentang takal melalui lakaran, TMK, penulisan atau lisan secara kreatif.",10010500,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.1,Memerhati dengan menggunakan semua deria yang terlibat untuk membuat pemerhatian secara kualitatif dengan alat yang sesuai bagi menerangkan fenomena atau perubahan yang berlaku.,1010100,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.2,Mengelas dengan membandingkan atau mengenal pasti persamaan dan perbezaan berdasarkan ciri sepunya.,1010200,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.3,Mengukur dan menggunakan nombor dengan menggunakan alat dan unit piawai dengan teknik yang betul.,1010300,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.4,Membuat inferens dengan menyatakan kesimpulan awal atau penerangan yang munasabah bagi sesuatu pemerhatian dengan menggunakan maklumat yang diperoleh.,1010400,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.5,"Meramal dengan membuat jangkaan tentang sesuatu peristiwa atau fenomena berdasarkan pemerhatian, pengalaman lalu atau data.",1010500,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.6,Berkomunikasi dengan merekod maklumat atau idea dalam bentuk yang sesuai dan mempersembahkan maklumat atau idea tersebut secara sistematik.,1010600,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.7,Menggunakan perhubungan ruang dan masa dengan menyusun kejadian sesuatu fenomena atau peristiwa mengikut kronologi berdasarkan masa.,1010700,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.8,"Mentafsir data dengan memilih idea yang relevan tentang objek, peristiwa atau pola yang terdapat pada data untuk membuat penerangan.",1010800,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.9,secara operasi dengan memerihalkan satu tafsiran tentang perkara yang dilakukan dan diperhatikan bagi sesuatu situasi mengikut aspek yang ditentukan.,1010900,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.10,Mengawal pemboleh ubah dengan menentukan pemboleh ubah bergerak balas dan dimalarkan setelah pemboleh ubah dimanipulasi ditentukan dalam sesuatu penyiasatan.,1011000,TRUE
SAINS SK,SN-SK,4,1.0 Kemahiran Saintifik,1.1.11,Membuat hipotesis dengan membuat pernyataan umum yang boleh diuji tentang hubungan antara pemboleh ubah dalam sesuatu penyiasatan.,1011100,TRUE
