subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.1,Menyatakan pengertian sejarah.,1010100,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.2,Mengenal pasti sumber dalam sejarah.,1010200,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.3,Menjelaskan kaedah penyelidikan sejarah.,1010300,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.4,Membezakan konsep ruang dan masa dalam sejarah.,1010400,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.5,Menghuraikan sebab dan akibat dalam peristiwa sejarah.,1010500,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.6,Menyatakan kepentingan mempelajari sejarah.,1010600,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.7,Menerangkan kepentingan mengambil iktibar daripada peristiwa lalu.,1010700,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.8,Menjelaskan kepentingan meraikan sesuatu peristiwa sejarah negara.,1010800,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.1.9,Menghurai kepentingan memelihara sumber sejarah untuk generasi akan datang.,1010900,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.1,Menyatakan biodata diri.,1020100,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.2,Menjelaskan pengertian keluarga asas dan kembangan.,1020200,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.3,Membandingkan peranan anggota keluarga.,1020300,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.4,Menghuraikan perkembangan diri mengikut garis masa.,1020400,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.5,Menunjuk cara adab yang perlu diamalkan dalam keluarga.,1020500,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.6,Menjelaskan kepentingan menghormati peranan setiap ahli keluarga.,1020600,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.2.7,Menghuraikan kepentingan akhlak yang mulia untuk mewujudkan hubungan kekeluargaan yang harmoni.,1020700,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.1,Menyatakan nama dan alamat sekolah.,1030100,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.2,Mengenal pasti lokasi sekolah.,1030200,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.3,Menjelaskan sejarah sekolah.,1030300,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.4,Menghuraikan maklumat sekolah yang lengkap.,1030400,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.5,Menerangkan kepentingan tanggungjawab murid terhadap sekolah.,1030500,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.6,Menjelaskan kepentingan mengiktiraf jasa dan sumbangan sekolah kepada diri serta masyarakat.,1030600,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.3.7,Menghuraikan kepentingan sekolah sebagai sebuah institusi yang membina masyarakat dan negara.,1030700,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.1,Menyatakan maklumat lengkap mengenai tempat tinggal.,1040100,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.2,Menerangkan bentuk muka bumi kawasan tempat tinggal.,1040200,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.3,Menjelaskan sejarah tempat tinggal.,1040300,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.4,Menghuraikan tokoh setempat di tempat anda.,1040400,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.5,Menyatakan kepentingan menjaga kemudahan awam di tempat tinggal.,1040500,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.6,Menerangkan kepentingan menjaga kebersihan dan keindahan di tempat tinggal.,1040600,True
SEJARAH SK,SEJ-SK,4,1.0 Mari Belajar Sejarah,1.4.7,Menjelaskan kepentingan sikap menghargai kawasan tempat tinggal.,1040700,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.1,Menyatakan maksud Zaman Air Batu.,2010100,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.2,Menyenaraikan garis masa Zaman Air Batu.,2010200,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.3,Menerangkan perubahan Zaman Air Batu Akhir.,2010300,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.4,Menghuraikan kesan perubahan Zaman Air Batu Akhir di Asia Tenggara.,2010400,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.5,Menerangkan kepentingan mengambil iktibar perubahan zaman dalam kehidupan manusia.,2010500,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.6,Menjelaskan kepentingan langkah memelihara dan memulihara alam sekitar.,2010600,True
SEJARAH SK,SEJ-SK,4,2.0 Zaman Air Batu,2.1.7,Menghuraikan kepentingan usaha mengekalkan kelestarian alam sekitar.,2010700,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.1,Menyatakan maksud Zaman Prasejarah.,3010100,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.2,Memberi contoh lokasi Zaman Prasejarah di negara kita.,3010200,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.3,Menghuraikan ciri kehidupan dari aspek kegiatan sosial dan ekonomi manusia Zaman Prasejarah.,3010300,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.4,Menghuraikan sumbangan teknologi Zaman Prasejarah kepada kemajuan inovasi pada masa kini.,3010400,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.5,Menyatakan kepentingan memulihara artifak Zaman Prasejarah.,3010500,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.6,Menjelaskan sikap bersedia untuk menghadapi perubahan persekitaran.,3010600,True
SEJARAH SK,SEJ-SK,4,3.0 Zaman Prasejarah,3.1.7,Menghuraikan kepentingan sumbangan Zaman Prasejarah terhadap peradaban negara.,3010700,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.1,Menamakan Kerajaan Melayu Awal di Alam Melayu.,4010100,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.2,Menyatakan lokasi Kerajaan Melayu Awal di Kepulauan Melayu.,4010200,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.3,Menjelaskan hubungan diplomatik Kerajaan Melayu Awal di Kepulauan Melayu.,4010300,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.4,Menghuraikan kegiatan ekonomi Kerajaan Melayu Awal di Kepulauan Melayu.,4010400,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.5,Menerangkan kepentingan menjalin hubungan diplomatik.,4010500,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.6,Menjelaskan kepentingan perdagangan jalan laut kepada negara.,4010600,True
SEJARAH SK,SEJ-SK,4,4.0 Kerajaan Melayu Awal,4.1.7,Menghuraikan kepentingan sumbangan Kerajaan Melayu Awal terhadap ekonomi negara.,4010700,True
SEJARAH SK,SEJ-SK,4,5.0 Tokoh Terbilang Kesultanan Tanah Melayu Melaka,5.1.1,Menyatakan struktur masyarakat Zaman Kesultanan Melayu Melaka.,5010100,True
