subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
English - SM,BI-SM,1,Listening,1.1.1,Understand with little or no support the main ideas in simple longer texts on a range of familiar topics,1010100,TRUE
English - SM,BI-SM,1,Listening,1.1.2,Understand with little or no support specific information and details in simple longer texts on a range of familiar topics,1010200,TRUE
English - SM,BI-SM,1,Listening,1.1.4,Understand longer sequences of supported classroom instructions,1010400,TRUE
English - SM,BI-SM,1,Listening,1.1.5,Understand more complex supported questions,1010500,TRUE
English - SM,BI-SM,1,Listening,1.1.6,Understand with support longer simple narratives on a wide range of familiar topics,1010600,TRUE
English - SM,BI-SM,1,Listening,1.2.1,Guess the meaning of unfamiliar words from clues provided by other known words and by context on familiar topics,1020100,TRUE
English - SM,BI-SM,1,Speaking,2.1.1,Ask about and give detailed information about themselves and others,2010100,TRUE
English - SM,BI-SM,1,Speaking,2.1.2,Ask about and express rules and obligations,2010200,TRUE
English - SM,BI-SM,1,Speaking,2.1.3,Ask about and describe future plans or events,2010300,TRUE
English - SM,BI-SM,1,Speaking,2.1.4,Explain and give reasons for simple advice,2010400,TRUE
English - SM,BI-SM,1,Speaking,2.1.5,Ask about and describe personality,2010500,TRUE
English - SM,BI-SM,1,Speaking,2.3.1,Keep interaction going in short exchanges by checking understanding of what a speaker is saying,2030100,TRUE
English - SM,BI-SM,1,Speaking,2.3.2,Agree on a set of basic steps needed to complete extended classroom tasks,2030200,TRUE
English - SM,BI-SM,1,Speaking,2.4.1,"Narrate short stories, events and experiences",2040100,TRUE
English - SM,BI-SM,1,Reading,3.1.1,Understand the main points in simple longer texts,3010100,TRUE
English - SM,BI-SM,1,Reading,3.1.2,Understand specific details and information in simple longer texts,3010200,TRUE
English - SM,BI-SM,1,Reading,3.1.3,Guess the meaning of unfamiliar words from clues provided by other known words and by context,3010300,TRUE
English - SM,BI-SM,1,Reading,3.1.4,Use with some support familiar print and digital resources to check meaning,3010400,TRUE
English - SM,BI-SM,1,Reading,3.2.1,Read and enjoy fiction / non-fiction and other suitable print and digital texts of interest,3020100,TRUE
English - SM,BI-SM,1,Writing,4.1.1,Give detailed information about themselves and others,4010100,TRUE
English - SM,BI-SM,1,Writing,4.1.2,Describe future plans or events,4010200,TRUE
English - SM,BI-SM,1,Writing,4.1.3,Narrate factual and imagined events and experiences,4010300,TRUE
English - SM,BI-SM,1,Writing,4.1.4,Describe personality,4010400,TRUE
English - SM,BI-SM,1,Writing,4.1.5,Connect sentences into two coherent paragraphs or more using basic coordinating conjunctions and reference pronouns,4010500,TRUE
English - SM,BI-SM,1,Writing,4.2.1,"Use capitals, full stops, commas in lists, question marks, and speech marks appropriately at discourse level",4020100,TRUE
English - SM,BI-SM,1,Writing,4.2.2,Spell most high frequency words accurately in independent writing,4020200,TRUE
English - SM,BI-SM,1,Writing,4.2.3,Produce a plan or draft of two paragraphs or more and modify this appropriately in response to feedback,4020300,TRUE
English - SM,BI-SM,1,Language Arts,5.1.1,Describe in simple language a character’s actions or feelings and explain the reasons for them,5010100,TRUE
English - SM,BI-SM,1,Language Arts,5.1.2,Identify and describe in simple language the key characters in a text,5010200,TRUE
English - SM,BI-SM,1,Language Arts,5.3.1,Respond imaginatively and intelligibly through creating simple stories and simple poems Other imaginative responses as appropriate,5030100,TRUE
English - SM,BI-SM,2,Listening,1.1.1,Understand independently the main ideas in simple longer texts on a range of familiar topics,1010100,TRUE
English - SM,BI-SM,2,Listening,1.1.2,Understand independently specific information and details in simple longer texts on a range of familiar topics,1010200,TRUE
English - SM,BI-SM,2,Listening,1.1.3,Recognise with support attitudes or opinions in simple longer texts on a range of familiar topics,1010300,TRUE
English - SM,BI-SM,2,Listening,1.1.4,Understand with little or no support longer sequences of classroom instructions,1010400,TRUE
English - SM,BI-SM,2,Listening,1.1.5,Understand with little or no support more complex questions,1010500,TRUE
English - SM,BI-SM,2,Listening,1.1.6,Understand with little or no support longer simple narratives on a wide range of familiar topics,1010600,TRUE
English - SM,BI-SM,2,Listening,1.2.1,Guess the meaning of unfamiliar words from clues provided by other known words and by context on a range of familiar topics,1020100,TRUE
English - SM,BI-SM,2,Speaking,2.1.1,Ask about and explain key information from simple texts,2010100,TRUE
