subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.1.1,Mendengar dan mengenal sebutan perkataan dan rangkai kata dalam pelbagai ujaran dengan betul dan tepat.,1010100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.2.1,"Mendengar dan memahami perkataan, rangkai kata, istilah dan ungkapan dalam pelbagai ujaran dengan betul dan tepat mengikut konteks.",1020100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.2.2,"Mendengar dan memahami ayat tunggal dan ayat majmuk yang mudah dalam ujaran dengan menyatakan maksud yang betul, tepat dan jelas mengikut konteks",1020200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.3.1,"Mendengar dan memahami maklumat, fakta dan idea dalam pelbagai wacana dengan memberikan respons secara lisan dengan betul, tepat dan bermakna.",1030100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.3.2,"Mendengar dan memahami maklumat, fakta dan idea dalam pengumuman dan ucapan dengan memberikan respons yang betul, tepat dan bermakna.",1030200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.4.1,Berbual tentang kegiatan harian serta hal-hal persendirian menggunakan sebutan dan intonasi yang betul secara santun.,1040100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.4.2,"Berbicara untuk memulakan dan mengakhiri perbualan, bertanya khabar, serta menyatakan terima kasih dan penghargaan secara bertatasusila.",1040200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.4.3,Menceritakan pengalaman diri dan orang lain dalam pelbagai situasi dengan sebutan dan intonasi yang betul secara santun.,1040300,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.5.1,"Mengemukakan soalan bertumpu untuk mengetahui pesanan, arahan, panduan dan tunjuk cara dengan betul tepat dan secara bertatasusila.",1050100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.5.2,"Memberikan jawapan yang sesuai tentang sesuatu perkara dengan betul, tepat dan secara bertatasusila.",1050200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.5.3,Bersoal jawab dalam perbualan menggunakan soalan bertumpu dan mengemukakan jawapan yang sesuai dan betul secara bertatasusila.,1050300,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.6.1,Menyampaikan isi dan fakta tentang sesuatu perkara dengan betul dan jelas menggunakan ayat yang gramatis.,1060100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.6.2,"Menyampaikan maklumat dalam bentuk ucapan dan pengumuman dengan betul, tepat, jelas, intonasi yang sesuai dan berkesan menggunakan ayat yang gramatis.",1060200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.7.1,Berbincang tentang sesuatu perkara yang didengar atau dilihat untuk bertukar-tukar pandangan secara rasional dengan ayat yang gramatis dan bahasa yang santun.,1070100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.7.2,Berunding untuk mendapatkan persetujuan bagi sesuatu tawaran tentang sesuatu perkara secara rasional dengan ayat yang gramatis dan bahasa yang santun.,1070200,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.8.1,"Menerangkan sesuatu perkara dengan bernas dan kritis secara jelas menggunakan ayat yang betul, tepat dan gramatis.",1080100,TRUE
Bahasa Melayu SM,BM-SM,1,Mendengar Dan Bertutur,1.8.2,Mengulas peristiwa mengikut urutan secara jelas dan bernas menggunakan ayat yang gramatis.,1080200,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.1.1,"Membaca secara mekanis pengumuman, ikrar, iklan dan promosi dengan sebutan dan intonasi yang betul, nada yang sesuai serta kepantasan yang wajar.",2010100,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.1.2,Membaca secara mekanis pantun dengan sebutan dan intonasi yang betul dan nada yang sesuai.,2010200,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.2.1,Membaca untuk memahami makna perkataan yang terdapat dalam pelbagai bahan menggunakan glosari dan kamus dengan betul dan tepat.,2020100,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.2.2,Membaca untuk memahami maklumat daripada arahan dalam pelbagai bahan dengan memberikan respons yang betul dan tepat.,2020200,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.2.3,Membaca untuk memahami idea keseluruhan dalam pelbagai bahan prosa dengan betul dan tepat secara luncuran dan imbasan.,2020300,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.3.1,Membaca untuk menyaring dan mengenal pasti idea utama dan idea sampingan dengan betul dan tepat.,2030100,TRUE
Bahasa Melayu SM,BM-SM,1,Membaca,2.4.1,Membaca secara ekstensif pelbagai bahan fiksyen dan bukan fiksyen untuk meningkatkan penguasaan kosa kata dan ungkapan menarik dengan pemahaman dan penghayatan yang baik,2040100,TRUE
Bahasa Melayu SM,BM-SM,1,Menulis,3.1.1,Menulis untuk menyatakan makna kata dengan betul mengikut konteks,3010100,TRUE
Bahasa Melayu SM,BM-SM,1,Menulis,3.2.1,"Menulis untuk menyatakan sesuatu situasi yang dibaca, didengar dan ditonton menggunakan ayat yang betul, tepat dan gramatis.",3020100,TRUE
Bahasa Melayu SM,BM-SM,1,Menulis,3.3.1,Menulis untuk melengkapkan maklumat diri dan ayat dalam pelbagai bahan dengan betul dan tepat.,3030100,TRUE
Bahasa Melayu SM,BM-SM,1,Menulis,3.4.1,Membina kerangka penulisan dengan menyenaraikan isi yang sesuai secara terancang dan kemas menggunakan bahasa yang tepat.,3040100,TRUE
