subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.1,Mentakrif ilmu ekonomi.,1010100,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.2,Menjelaskan konsep kekurangan dan pilihan berasaskan sumber ekonomi terhad dan kehendak tidak terhad.,1010200,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.3,"Mendefinisikan faktor pengeluaran iaitu tanah, buruh, modal dan usahawan.",1010300,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.4,Mendefinisikan kos lepas.,1010400,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.5,Menganalisis sesuatu situasi untuk menerangkan kos lepas.,1010500,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.6,"Menilai implikasi pilihan yang dibuat oleh individu, kerajaan atau masyarakat dari aspek kos lepas dengan menggunakan contoh.",1010600,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.1.7,Menganalisis keluk kemungkinan pengeluaran untuk menunjukkan kos lepas,1010700,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.2.1,"Menghuraikan masalah asas ekonomi iaitu apa, berapa, bagaimana dan untuk siapa barang dikeluarkan.",1020100,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.2.2,"Mengenal pasti ciri-ciri utama sistem ekonomi pasaran bebas, sistem ekonomi perancangan pusat dan sistem ekonomi campuran.",1020200,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.2.3,Membincangkan penyelesaian masalah asas ekonomi oleh setiap sistem ekonomi tersebut.,1020300,TRUE
Ekonomi SM,EKO-SM,4,1.0 Pengenalan Kepada Ekonomi,1.2.4,Menerangkan ciri-ciri utama ekonomi Islam,1020400,TRUE
Ekonomi SM,EKO-SM,4,2.0   Pasaran,2.1.1,Menjelaskan hukum permintaan.,2010100,TRUE
