subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.1.1,Mengenal pasti lapan arah mata angin.,1010100,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.1.2,Menggunakan matahari sebagai panduan untuk menentukan arah mata angin.,1010200,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.1.3,Menggunakan kompas untuk menentukan arah mata angin.,1010300,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.1.4,Mengukur bearing sudutan pada peta dengan menggunakan jangka sudut.,1010400,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.2.1,Membincangkan kedudukan relatif sesuatu tempat berdasarkan peta.,1020100,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.2.2,Mengaplikasikan latitud dan longitud untuk mengenal pasti kedudukan sesuatu tempat.,1020200,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.3.1,Menggunakan peta lakar yang tepat dengan ciri-ciri peta.,1030100,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.3.2,Menggunakan simbol yang tepat dalam peta lakar.,1030200,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.3.3,Membezakan pandang darat fizikal dan pandang darat budaya berdasarkan simbol dalam peta lakar.,1030300,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.3.4,Menghasilkan peta lakar yang lengkap berdasarkan pandang darat setempat.,1030400,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.4.1,Menentukan kedudukan negeri-negeri dan Wilayah Persekutuan di Malaysia berdasarkan peta.,1040100,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.4.2,"Menentukan kedudukan ibu negeri, ibu negara Malaysia dan pusat pentadbiran kerajaan persekutuan di Malaysia berdasarkan peta.",1040200,TRUE
Geografi SM,GEO-SM,1,Kemahiran Geografi,1.4.3,Melakar peta Malaysia yang lengkap dengan berpandukan peta sebenar.,1040300,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.1.1,Menjelaskan empat sistem fizikal bumi.,2010100,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.1.2,Menjelaskan struktur bumi.,2010200,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.1.3,"Mengenal pasti benua, lautan, laut utama dan selat.",2010300,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.1.4,Membincangkan kesan pergerakan kerak bumi.,2010400,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.2.1,Membincangkan pelbagai bentuk muka bumi di Malaysia.,2020100,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.2.2,Menentukan lokasi pelbagai bentuk muka bumi di Malaysia.,2020200,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.2.3,Membandingkan kepentingan pelbagai bentuk muka bumi di Malaysia.,2020300,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.3.1,Membincangkan pandang darat fizikal di setiap peringkat aliran sungai.,2030100,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.3.2,Mengenal pasti nama sungai dan tasik utama di atas peta Malaysia.,2030200,TRUE
Geografi SM,GEO-SM,1,Bentuk Muka Bumi Dan Saliran,2.3.3,Membandingkan kepentingan sungai dan tasik utama di Malaysia.,2030300,TRUE
Geografi SM,GEO-SM,1,Penduduk Dan Petempatan,3.1.1,Menjelaskan dengan contoh taburan penduduk di Malaysia.,3010100,TRUE
Geografi SM,GEO-SM,1,Penduduk Dan Petempatan,3.1.2,Membincangkan faktor-faktor yang mempengaruhi taburan penduduk di Malaysia.,3010200,TRUE
Geografi SM,GEO-SM,1,Penduduk Dan Petempatan,3.2.1,Membincangkan jenis petempatan yang terdapat di Malaysia.,3020100,TRUE
Geografi SM,GEO-SM,1,Penduduk Dan Petempatan,3.2.2,Menjelaskan dengan contoh empat pola penempatan di Malaysia.,3020200,TRUE
Geografi SM,GEO-SM,1,Penduduk Dan Petempatan,3.2.3,Membezakan fungsi petempatan bandar dan luar bandar di Malaysia.,3020300,TRUE
Geografi SM,GEO-SM,1,Asia Tenggara,4.1.1,Melengkapkan peta Asia Tenggara dengan nama negara.,4010100,TRUE
Geografi SM,GEO-SM,1,Asia Tenggara,4.1.2,Menjelaskan dengan contoh bentuk muka bumi di Asia Tenggara.,4010200,TRUE
Geografi SM,GEO-SM,1,Asia Tenggara,4.1.3,Menjelaskan dengan contoh sungai dan tasik utama di Asia Tenggara.,4010300,TRUE
Geografi SM,GEO-SM,1,Asia Tenggara,4.2.1,Membincangkan taburan penduduk di Asia Tenggara.,4020100,TRUE
