subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.1.1,Menyatakan maksud kimia.,1010100,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.1.2,Memberikan contoh bahan kimia yang lazim digunakan dalam kehidupan harian.,1010200,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.1.3,Menjana idea tentang perkembangan bidang kimia dan sumbangan teknologi kimia kepada manusia,1010300,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.1.4,Memberikan contoh kerjaya yang berkaitan dengan bidang kimia,1010400,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.2.1,Mereka bentuk eksperimen untuk menguji hipotesis.,1020100,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.2.2,Mengeksperimen kesan suhu terhadap keterlarutan garam dalam air dengan menggunakan kaedah saintifik.,1020200,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.3.3,Berkomunikasi tentang langkah pengurusan kemalangan dalam makmal,1030000,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.3.1,Menerangkan tentang jenis dan fungsi alat pelindung diri serta keselamatan dalam makmal.,1030100,TRUE
Kimia SM,KIM-SM,4,1.0 Pengenalan Kepada Kimia,1.3.2,Menunjuk cara kaedah pengurusan dan pengendalian radas serta bahan kimia,1030200,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.1.1,Memerihal jirim.,2010100,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.1.2,Menerangkan perubahan keadaan jirim.,2010200,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.1.3,Menentukan takat lebur dan takat beku naftalena,2010300,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.2.1,Menyatakan zarah subatom dalam pelbagai atom unsur.,2020100,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.2.2,"Membanding dan membezakan jisim relatif dan cas relatif proton, elektron dan neutron.",2020200,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.2.3,"Membuat urutan model struktur atom berdasarkan Model Atom Dalton, Thomson, Rutherford, Bohr dan Chadwick.",2020300,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.3.1,Mendefinisi nombor proton dan nombor nukleon.,2030100,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.3.2,"Menentukan nombor nukleon, nombor proton dan bilangan elektron dalam sesuatu atom.",2030200,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.3.3,Menulis perwakilan piawai bagi atom,2030300,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.3.4,Membina rajah struktur atom dan susunan elektron.,2030400,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.4.1,Mendeduksi maksud isotop.,2040100,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.4.2,Menghitung jisim atom relatif bagi isotop.,2040200,TRUE
Kimia SM,KIM-SM,4,2.0 Jirim Dan Struktur Atom,2.4.3,Mewajarkan penggunaan isotop dalam pelbagai bidang.,2040300,TRUE
Kimia SM,KIM-SM,4,"3.0 Konsep Mol, Formula Dan Persamaan Kimia",3.1.1,Mengkonsepsi jisim atom relatif dan jisim molekul relatif berdasarkan skala. karbon-12,3010100,TRUE
Kimia SM,KIM-SM,4,"3.0 Konsep Mol, Formula Dan Persamaan Kimia",3.1.2,Menghitung jisim molekul relatif dan jisim formula relatif,3010200,TRUE
