subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.1.1,Mengenal nombor positif dan nombor negatif berdasarkan situasi sebenar.Mengenal nombor positif dan nombor negatif berdasarkan situasi sebenar.,1010100,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.1.2,Mengenal dan memerihalkan integer. Mengenal dan memerihalkan integer.,1010200,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.1.3,Mewakilkan integer pada garis nombor dan membuat perkaitan antara nilai integer dengan kedudukan integer tersebut berbanding integer lain pada garis nombor.,1010300,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.1.4,Membanding dan menyusun integer mengikut tertib.,1010400,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.1,Menambah dan menolak integer menggunakan garis nombor atau kaedah lain yang sesuai. Seterusnya membuat generalisasi tentang penambahan dan penolakan integer.,1020100,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.2,Mendarab dan membahagi integer menggunakan pelbagai kaedah. Seterusnya membuat generalisasi tentang pendaraban dan pembahagian integer.,1020200,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.3,Membuat pengiraan yang melibatkan gabungan operasi asas aritmetik bagi integer mengikut tertib operasi.,1020300,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.4,Menghuraikan hukum operasi aritmetik iaitu Hukum Identiti Hukum Kalis Tukar Tertib Hukum Kalis Sekutuan dan Hukum Kalis Agihan.,1020400,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.5,Membuat pengiraan yang efisien dengan menggunakan hukum operasi asas aritmetik.,1020500,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.2.6,Menyelesaikan masalah yang melibatkan integer.,1020600,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.3.1,Mewakilkan pecahan positif dan pecahan negatif pada garis nombor.,1030100,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.3.2,Membanding dan menyusun pecahan positif dan pecahan negatif mengikut tertib.,1030200,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.3.3,Membuat pengiraan yang melibatkan gabungan operasi asas aritmetik bagi pecahan positif dan pecahan negatif mengikut tertib operasi.,1030300,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.3.4,Menyelesaikan masalah yang melibatkan pecahan positif dan pecahan negatif.,1030400,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.4.1,Mewakilkan perpuluhan positif dan perpuluhan negatif pada garis nombor.,1040100,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.4.2,Membanding dan menyusun perpuluhan positif dan perpuluhan negatif mengikut tertib.,1040200,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.4.3,Membuat pengiraan yang melibatkan gabungan operasi asas aritmetik bagi perpuluhan positif dan perpuluhan negatif mengikut tertib operasi.,1040300,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.4.4,Menyelesaikan masalah yang melibatkan perpuluhan positif dan perpuluhan negatif.,1040400,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.5.1,Mengenal dan memerihalkan nombor nisbah.,1050100,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.5.2,Membuat pengiraan yang melibatkan gabungan operasi asas aritmetik bagi nombor nisbah mengikut tertib operasi.,1050200,TRUE
MATEMATIK SM,MT-SM,1,Nombor Nisbah,1.5.3,Menyelesaikan masalah yang melibatkan nombor nisbah.,1050300,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.1.1,Menentu dan menyenaraikan faktor bagi nombor bulat dan seterusnya membuat generalisasi tentang faktor.,2010100,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.1.2,Menentu dan menyenaraikan faktor perdana bagi suatu nombor bulat dan seterusnya mengungkapkan nombor tersebut dalam bentuk pemfaktoran perdana.,2010200,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.1.3,Menerang dan menentukan faktor sepunya bagi nombor bulat.,2010300,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.1.4,Menentukan FSTB bagi dua dan tiga nombor bulat.,2010400,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.1.5,Menyelesaikan masalah yang melibatkan FSTB.,2010500,TRUE
MATEMATIK SM,MT-SM,1,Faktor Dan Gandaan,2.2.2,Menentukan GSTK bagi dua dan tiga nombor bulat.,2020000,TRUE
