subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
ڤنديديقن اسلام SM,PAI-SM,1,مؤمين يڠ برتقوى,1.1.1,ممباچ اية 1-5 سورة البقرة دڠن بتول دان برتجويد,1010100,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مؤمين يڠ برتقوى,1.1.2,مپاتاكن اينتيساري اية,1010200,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مؤمين يڠ برتقوى,1.1.3,مڠعملكن اية 1-5 سورة البقرة دڠن بتول دان برتجويد,1010300,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مؤمين يڠ برتقوى,1.1.4,مڠعملكن اية 1-5 سورة البقرة دالم صلاة دان ذيكير سچارا برادب دان استيقامة,1010400,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مموهون كبهاڬين هاكيكي,1.2.2,مپاتاكن اينتيساري اية,1020000,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مموهون كبهاڬين هاكيكي,1.2.1,ممباچ اية 201 سورة البقرة دڠن بتول دان برتجويد,1020100,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مموهون كبهاڬين هاكيكي,1.2.3,مڠحفظ اية 201 سورة البقرة دڠن بتول دان برتجويد.,1020300,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مموهون كبهاڬين هاكيكي,1.2.4,مڠعملكن اية 201 سورة البقرة دالم صلاة دان ذيكير سچارا برادب دان ايستيقامة,1020400,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مها سوچي الله,1.3.1,مريد بوليه ممباچ اية 255 هيڠݢ 257 سورة البقرة دڠن بتول دان برتجويد,1030100,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مها سوچي الله,1.3.2,مپاتاكن انتيساري اية.,1030200,TRUE
ڤنديديقن اسلام SM,PAI-SM,1,مها سوچي الله,1.3.3,مڠحفظ اية 255 هيڠݢ 257 سورة البقرة دڠن بتول دان برتجويد,1030300,TRUE
