subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.1,Menyatakan maksud perakaunan.,1010100,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.2,Membandingkan fungsi simpan kira dan perakaunan.,1010200,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.3,Menyatakan maksud Kitaran Perakaunan.,1010300,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.4,Melakar kitaran perakaunan.,1010400,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.5,Menerangkan setiap peringkat dalam Kitaran Perakaunan,1010500,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.6,Menerangkan sub bidang perakaunan; perakaunan kewangan; perakaunan pengurusan; pengauditan; percukaian.,1010600,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.7,Menghubung kait fungsi perakaunan kewangan dengan pengauditan dan percukaian.,1010700,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.8,Menyatakan maksud profesional,1010800,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.9,Menyenaraikan profesion perakaunan yang boleh diceburi.,1010900,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.10,Menyenaraikan ciri-ciri akauntan sebagai pemimpin.,1011000,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.11,Menyenaraikan kod etika profesion perakaunan,1011100,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.12,Membincangkan syarat kelayakan untuk menjadi seorang akauntan bertauliah di Malaysia,1011200,TRUE
Prinsip Perakaunan SM,PP-SM,4,1.0 Pengenalan Kepada Perakaunan,1.1.13,Mengkaji contoh kajian kes yang boleh dikaitkan dengan etika profesion perakaunan.,1011300,TRUE
