subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.1,Menyatakan pengertian sejarah secara umum.,1010100,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.2,"Menjelaskan pengertian sejarah mengikut pandangan sejarawan seperti Herodotus, E.H Carr, Ibn Khaldun, dan Mohd.Yusuf Ibrahim.",1010200,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.3,Menghuraikan konsep masa silam dan ruang dalam sejarah.,1010300,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.4,Membincangkan sumber sejarah.,1010400,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.5,Menjelaskan kaedah penyelidikan sejarah.,1010500,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.6,Menjelaskan pentafsiran sejarah.,1010600,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.7,Membincangkan kepentingan mempelajari sejarah.,1010700,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.8,Menjelaskan kepentingan menghargai masa dalam kehidupan seharian.,1010800,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.9,Merumuskan kepentingan menghargai peristiwa sejarah negara kita.,1010900,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.10,Menjana idea cara memelihara warisan negara kita.,1011000,TRUE
Sejarah SM,SEJ-SM,1,1. Pengenalan Ilmu Sejarah,1.1.11,Menerangkan kepentingan mengaplikasikan ilmu Sejarah dalam kehidupan.,1011100,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.1,Mengenali dunia kita.,2010100,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.2,Menyenaraikan Zaman Air Batu.,2010200,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.3,Membina garis masa Zaman Air Batu.,2010300,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.4,Menjelaskan ciri-ciri Zaman Air Batu akhir.,2010400,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.5,Membincangkan perubahan Zaman Air Batu.,2010500,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.6,Menilai kesan perubahan di Asia Tenggara.,2010600,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.7,Menjelaskan kepentingan bersyukur dengan alam ciptaan Tuhan.,2010700,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.8,Menyatakan kepentingan sikap yang perlu diamalkan dalam menjaga alam sekitar.,2010800,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.9,"Menghubungkait kepentingan masa lalu, kini dan hadapan dalam kehidupan.",2010900,TRUE
Sejarah SM,SEJ-SM,1,2. Zaman Air Batu,2.1.10,Menjelaskan kepentingan usaha-usaha untuk memelihara dan memulihara alam sekitar.,2011000,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.1,Menyatakan maksud Zaman Prasejarah.,3010100,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.2,Menerangkan lokasi Zaman Prasejarah.,3010200,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.3,Membandingkan ciri- ciri kehidupan pada Zaman Prasejarah.,3010300,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.4,Menyatakan kesinambungan sumbangan Zaman Prasejarah kepada kemajuan kehidupan manusia.,3010400,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.5,Membincangkan bukti tinggalan Zaman Prasejarah di Malaysia.,3010500,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.6,Menjelaskan keupayaan manusia Prasejarah meneruskan kelangsungan hidup.,3010600,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.7,Mencadangkan kepentingan memelihara dan memulihara tinggalan Zaman Prasejarah.,3010700,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.8,Menjelaskan penghargaan terhadap kemajuan dalam masyarakat Zaman Prasejarah.,3010800,TRUE
Sejarah SM,SEJ-SM,1,3. Zaman Prasejarah,3.1.9,Mewajarkan kepentingan bersyukur dalam memanfaatkan alam ciptaanTuhan.,3010900,TRUE
Sejarah SM,SEJ-SM,1,4. Tamadun Dunia Dan Sumbangannya,4.1.1,"Menyatakan maksud tamadun mengikut bahasaYunani, bahasa Inggeris dan bahasa Arab.",4010100,TRUE
