subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.1,menghubungkaitkan aktiviti seharian dengan Sains,1010100,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.2,mengitlak maksud Sains,1010200,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.3,merumuskan kepentingan bidang Sains tersebut dalam kehidupan seharian.,1010300,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.4,memerihalkan bidang Sains.,1010400,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.5,berkomunikasi mengenai kerjaya dalam bidang Sains,1010500,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.6,menghubungkait subjek yang perlu dipelajari dengan kerjaya bidang sains yang diminati,1010600,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.1.7,memerihalkan inovasi teknologi,1010700,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.2.1,mengenal pasti dan menyatakan fungsi radas,1020100,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.2.2,mengenal pasti simbol dan contoh bahan berbahaya dalam makmal,1020200,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.2.3,melukis dan melabel radas yang biasa digunakan dalam makmal dan mengelas berdasarkan kegunaannya,1020300,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.2.4,mewajarkan peraturan dan langkah keselamatan dalam makmal,1020400,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.3.1,mengenal pasti dan menggunakan unit yang betul bagi kuantiti fizikal yang berbeza,1030100,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.3.2,mengenal pasti maksud simbol dan nilai simbol bagi imbuhan yang digunakan dalam pengukuran,1030200,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.3.3,"menukar unit kuantiti asas iaitu jisim, panjang dan masa seperti gram kepada kilogram, sentimeter kepada meter, saat kepada jam dan sebaliknya",1030300,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.3.4,mewajarkan kepentingan penggunaan unit S.I dalam kehidupan harian,1030400,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.4.1,"menggunakan alat pengukur yang betul dan dengan cara yang betul, untuk mengukur dengan persis dan jitu kuantiti panjang, jisim, masa, suhu dan arus elektrik",1040100,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.4.2,"menggunakan alat pengukuran yang lebih jitu bagi membandingkan kejituan, kepersisan dan kepekaan dalam pengukuran",1040200,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.4.3,menerangkan bagaimana mengatasi ralat sistematik dan ralat rawak,1040300,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.4.4,"menganggar panjang, luas, jisim atau isi padu sesuatu objek dengan membuat anggaran sebelum membuat pengukuran sebenar",1040400,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.4.5,menjelas dengan contoh inovasi dalam alat pengukuran melalui pelbagai jenis persembahan multimedia,1040500,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.5.1,menyusun mengikut urutan bahan berdasarkan ketumpatan,1050100,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.5.2,meramalkan sama ada bahan akan terapung dan tenggelam berdasarkan ketumpatan,1050200,TRUE
Sains SM,SN-SM,1,1. Pengenalan Kepada Penyiasatan Saintifik,1.5.3,mendefinisikan secara operasi maksud ketumpatan,1050300,TRUE
