subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.1.1,سبوت بوڽي حروف هجاءييه يڠ برباريس فتحه دڠن بتول دان برتجويد,1010100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.1.2,بنديڠ بيذا بوڽي حروف هجاءييه يڠ همڤير سام بوڽي دڠن بتول دان برتجويد,1010200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.1,باچ حروف برسمبوڠ & كلمة برباريس فتحه,1020100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.2,باچ كلمة يڠ اد حروف مد ﴿اليف﴾ & تندا باچاءن مد دڠن بتول دان برتجويد,1020200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.3,باچ حروف برسمبوڠ & كلمة برباريس كسرة,1020300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.4,باچ كلمة يڠ اد حروف مد ﴿يا﴾ & تندا باچاءن مد دڠن بتول دان برتجويد,1020400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.5,باچ حروف برسمبوڠ & كلمة برباريس ضمة,1020500,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,حروف هجأييه برسمبوڠ,1.2.6,باچ كلمة يڠ اد حروف مد ﴿واو﴾ & تندا باچاءن مد دڠن بتول دان برتجويد,1020600,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن تنوين,1.3.1,باچ كلمة & ڤوتوڠن ايات يڠ اد تنوين دڠن بتول دان برتجويد,1030100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن تنوين,1.3.2,بنديڠ بيذا باچأن كلمة & ڤوتوڠن ايات يڠ اد تنوين دڠن بتول دان برتجويد,1030200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن تنوين,1.3.3,تلقي مشافهه باچاءن كلمة & ڤوتوڠن ايات يڠ اد تنوين دڠن بتول دان برتجويد,1030300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن تنوين,1.3.4,افليكاسي باچاءن كلمة & ڤوتوڠن ايات يڠ اد تنوين دڠن بتول دان برتجويد دالم ڤمباچاءن القرءان,1030400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اظهار,1.4.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد باچاءن نون سكينه، ميم سكينه، قلقله، حروف2 هجاءييه سكينه & اظهار قمري دڠن بتول دان برتجويد",1040100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اظهار,1.4.2,"تلقي مشافهه باچاءن كلمة & ڤوتوڠن ايات يڠ اد باچاءن نون سكينه، ميم سكينه، قلقله حروف2 هجأيييه سكينه & اظهار قمريه دان لاين- لاين",1040200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اظهار,1.4.3,"اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد باچان نون سكينه، ميم سكينه، قلقله حروف2 هجأييه سكينه & اظهار قمريه سباڬايڽ دالم ڤمباچأن اقرأ",1040300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن لين,1.5.4,افليكاسي باچان كلمة & ڤوتوڠن ايات يڠ اد حروف يا & واو سكينه يڠ سبلومڽ برباريس فتحه دالم ڤمباچأن القرءان,1050000,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن لين,1.5.1,باچ كلمة & ڤوتوڠن ايات يڠ اد حروف يا & واو سكينه يڠ سبلومڽ برباريس فتحه,1050100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن لين,1.5.2,بنديڠ بيذا باچان كلمة & ڤوتوڠن ايات يڠ اد باچان لين دڠن باچان مد ( واو دان اليف ),1050200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن لين,1.5.3,تلقي مشافاها باچان كلمة & ڤوتوڠن ايات يڠ اد حروف يا & واو سكينه يڠ سبلومڽ برباريس فتحه]دان سباڬايڽ,1050300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن حروف برتشديد,1.6.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد حروف نون شادده، ميم شادده & حروف2 هجاءييه برتشديد دان لفذول جلاله دبب",1060100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن حروف برتشديد,1.6.2,بنديڠ بيذا باچأن تفخيم دان ترقيق ڤد كلمة & ڤوتوڠن ايات يڠ اد لفظ جلاله,1060200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن حروف برتشديد,1.6.3,"تلقي مشافاهه باچأن كلمة & ڤوتوڠن ايات يڠ اد حروف نون شده، ميم شده & حروف2 هجاءيييه برتشديد دان لفظ الجلاله",1060300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن حروف برتشديد,1.6.4,"افليكاسي باچأن كلمة & ڤوتوڠن ايات يڠ اد حروف نون شده، ميم شده & حروف2 هجاءيييه برتشديد دان لفظ الجلاله دالم ڤمباچأن القرأن",1060400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اخفاء دان اقلاب,1.7.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد باچان اخفا' حقيقي، اخفا' شفوي & اقلاب",1070100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اخفاء دان اقلاب,1.7.2,"تلقي مشافهه باچأن كلمة & ڤوتوڠن ايات يڠ اد باچان اخفا' حقيقي، اخفا' شفوي & اقلاب",1070200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچأن اخفاء دان اقلاب,1.7.3,"اڤليكاسي باچأن كلمة & ڤوتوڠن ايات يڠ اد باچان اخفا' حقيقي، اخفا' شفوي & اقلاب دالم ڤمباچان القرءان",1070300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن ادغام,1.8.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد باچأن ادغام مع الغنه، بلا غنه & ادغام",1080100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن ادغام,1.8.2,بنديڠ بيذا باچأن ادغام مع الغنه & بلاغنه,1080200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن ادغام,1.8.3,"بنديڠ بيذا باچأن ادغام, شمسيه & اظهار دان قمريه",1080300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن ادغام,1.8.4,"تلقي مشافهه باچأن ادغام, شمسيه & اظهار دان قمريه",1080400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن ادغام,1.8.5,"افليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد باچأن ادغام, شمسيه & اظهار دان قمريه سماس ڤمباچأن القرءان",1080500,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن اليف يڠ تياد ڤد باچاءن,1.9.1,باچ كلمة & ڤوتوڠن ايات يڠ اد باچان اليف كتيك وصل & واقف,1090100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن اليف يڠ تياد ڤد باچاءن,1.9.2,بنديڠ بيذا باچان اليف كتيك واصل & واقف,1090200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن اليف يڠ تياد ڤد باچاءن,1.9.3,باچ كلمة & ڤوتوڠن ايات يڠ اد واو يڠ اد ڤد توليسن & تياد ڤد باچان دبب,1090300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن اليف يڠ تياد ڤد باچاءن,1.9.4,تلقي مشافاهه باچان كلمة & ڤوتوڠن ايات يڠ اد واو يڠ اد ڤد توليسن & تياد ڤد باچان دبب,1090400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن اليف يڠ تياد ڤد باچاءن,1.9.5,اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد اليف & واو يڠ اد ڤد توليسن & تياد ڤد باچان دبب سماس ڤمباچان القرءان,1090500,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن مد,1.10.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد باچان مد سيلاه، مد واجب متسسيل،مد جايز مونفاسيل & مد لازيم كليما دبب",1100100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن مد,1.10.2,"بنديڠ بيذا باچان مد صله طويله & قصيره، مد واجب متسيل & مد جايز منفصل دبب",1100200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن مد,1.10.3,تلقي مشافهه باچان كلمة & ڤوتوڠن ايات يڠ اد باچان مد دبب,1100300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن مد,1.10.4,اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد باچان مد دبب سماس ڤمباچأن القرءان,1100400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن حروف ڤمبوكاءن سوره,1.11.1,باچ حروف2 فاواتيه سوور دبب,1110100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن حروف ڤمبوكاءن سوره,1.11.2,تلقي مشافهه باچان حروف2 فاواتيه سوور,1110200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,باچاءن حروف ڤمبوكاءن سوره,1.11.3,اڤليكسي باچان حروف2 فاواتيه سوور دبب سماس ڤمباچأن القرءان,1110300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.12.3,تلقي مشافهه كلمة & ڤوتوڠن ايات يڠ اد تندا2 واقف,1120000,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.12.1,باچ كلمة & ڤوتوڠن ايات يڠ اد تندا2 واقف,1120100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.12.2,اناليسيس كلمة & ڤوتوڠن ايات يڠ اد تندا2 واقف,1120200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.12.4,اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد تندا2 واقف دبب سماس ڤمباچان القرءان,1120400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.13.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد تا مربوطاوه،فتحاتاين، نون شادده، 2 حروف سكينه تنڤا مد & حروف قالقاله برتسيدد كتيك واقف دبب",1130100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.13.2,تلقي مشافاهه باچان كلمة & ڤوتوڠن ايات يڠ اد باچان كتيك واقف دڠن بتول & برتجويد,1130200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,كنل تندا واقف,1.13.3,اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد باچان كتيك واقف دبب سماس ڤمباچان القرءان,1130300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,ممولاكن باچاءن دڠن همزه وصل,1.14.1,"باچ كلمة & ڤوتوڠن ايات يڠ اد باچان حمزه واسل برباريس فتحه، كسرح & ضوممه دڠن بتول & برتجويد",1140100,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,ممولاكن باچاءن دڠن همزه وصل,1.14.2,باچ كلمة & ڤوتوڠن ايات يڠ اد باچان حمزه واسل سلڤس حروف برتنوين دڠن بتول & برتجويد,1140200,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,ممولاكن باچاءن دڠن همزه وصل,1.14.3,"بنديڠ بيذا باچان كلمة & ڤوتوڠن ايات يڠ اد باچان همزه وصل برباريس فتحه، كسره & ضمــه دڠن بتول & برتجويد",1140300,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,ممولاكن باچاءن دڠن همزه وصل,1.14.4,"تلقي مشافاهه باچان كلمة & ڤوتوڠن ايات يڠ اد باچان حمزه واسل برباريس فتحه، كسرح & ضوممه، & باچان حمزه واسل سلڤس حروف برتنوين دڠن بتول & برتجويد",1140400,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,ممولاكن باچاءن دڠن همزه وصل,1.14.5,"اڤليكسي باچان كلمة & ڤوتوڠن ايات يڠ اد باچان حمزه واسل برباريس فتحه، كسرح & ضوممه، & باچان حمزه واسل سلڤس حروف برتنوين دڠن بتول & برتجويد سماس ڤمباچان القرءان",1140500,TRUE
ڤنديديقن اسلام-SK,PAI-SK,1,سوره الفاتحة,2.1.1,حفظ سوره الفاتحة,2010100,TRUE
